target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
29,11.476636,-72.93116,2,2,50,11.476453593715945,-72.93104427235423,0.4590449808281991,True
30,11.510007,-73.350014,1,1,37,11.509963328731851,-73.34999147016298,0.09277710143365346,True
31,11.554412,-72.935364,1,1,47,11.554434347052728,-72.9353948485588,0.1135363518338971,True
32,11.624906,-72.593178,2,1,154,11.625026282005921,-72.5931318922514,0.2105521896399483,True
32,11.624906,-72.593178,2,2,155,11.625166953145506,-72.59296102346472,0.8301343890437767,True
33,11.642234,-72.821014,1,1,51,11.64225961618077,-72.8210005815739,0.05545607863497754,True
34,11.666625,-73.208763,1,1,43,11.666688879876679,-73.20874416492971,0.09492736300172579,True
35,11.692539,-73.666313,1,1,25,11.692524301626166,-73.6663054061836,0.03112553810040576,True
36,11.721182,-72.714394,1,1,152,11.721290596571214,-72.71437904494687,0.1280339469560695,True
37,11.753848,-73.370476,1,1,34,11.753860046720703,-73.37045026974884,0.09345668556315426,True
38,11.760545,-72.919182,1,1,121,11.760621067948371,-72.91914520658516,0.1549653759422212,True
39,11.782004,-73.745392,1,1,24,11.781981125592996,-73.74537836839464,0.05421737725301552,True
40,11.78622,-73.236649,2,1,41,11.786253426660082,-73.23664216693804,0.042540617883292116,True
40,11.78622,-73.236649,2,2,42,11.786225640655692,-73.23645789287723,0.6880105707641145,True
41,11.793363,-72.96051,1,1,103,11.793502515390236,-72.96049967672067,0.15179597466888545,True
42,11.805479,-72.704842,1,1,153,11.805605070568769,-72.70482891463047,0.14291509732275817,True
43,11.938212,-73.307259,2,1,39,11.938251895861152,-73.30743377284054,0.630533274958322,True
43,11.938212,-73.307259,2,2,40,11.938196995137538,-73.30727486919841,0.05919864832171946,True
44,11.955413,-73.095612,1,1,96,11.955500660000363,-73.09559559661648,0.10912098153488592,True
45,11.992086,-72.815269,1,1,122,11.992174452328728,-72.81526070946731,0.09870143860435564,True
46,12.00486,-73.387062,1,1,33,12.004908558073115,-73.38706124716128,0.050052174483380896,True
47,12.009524,-73.403946,1,1,32,12.009518365750175,-73.40392484121861,0.07639160778976851,True
48,12.026228,-73.110535,1,1,97,12.026323274526527,-73.1105623365191,0.14005123129627642,True
49,12.036872,-73.505272,1,1,30,12.036953555619471,-73.50526564839372,0.08644023473224213,True
50,12.078882,-73.249702,1,1,65,12.079038258998745,-73.24975887526416,0.2611639002633014,True
51,12.115704,-73.446945,1,1,31,12.115371706789098,-73.44689822840002,0.3801414732926068,True
52,12.132593,-72.986565,1,1,102,12.13267492288788,-72.98654149194695,0.12086593508112176,True
53,12.138712,-73.209274,1,1,74,12.138797145827636,-73.2092757576998,0.08877376727888783,True
54,12.144304,-73.154884,1,1,75,12.144349552125735,-73.15489061502954,0.05315430157405519,True
55,12.146544,-72.369522,1,1,169,12.146601116318497,-72.36954060594101,0.09146008844194341,True
56,12.158935,-73.246552,1,1,66,12.159003692123887,-73.2465407025191,0.08206925524845624,True
57,12.189284,-72.924294,1,1,104,12.189376379625896,-72.92429781362037,0.09861356746496464,True
58,12.257829,-72.901375,1,1,105,12.25794335825418,-72.90139606712297,0.14284107028801432,True
59,12.299215,-72.692955,1,1,125,12.29934260048285,-72.69298878892921,0.1829516504258234,True
60,12.302837,-73.392799,2,1,56,12.302907170981161,-73.39282375747885,0.11470136905199117,True
60,12.302837,-73.392799,2,2,57,12.302186969834647,-73.39280670542266,0.6693985005191945,True
61,12.314714,-73.202988,1,1,67,12.314796525716426,-73.20303605419983,0.19312758381914508,True
62,12.319302,-73.147079,2,1,79,12.319330835636517,-73.14712068621168,0.15305835808135257,True
62,12.319302,-73.147079,2,2,80,12.320238353495974,-73.1471357253634,0.9983761378690963,True
63,12.385136,-72.487221,2,1,162,12.385293696389867,-72.48726518268096,0.23341671847300344,True
63,12.385136,-72.487221,2,2,163,12.384605725755826,-72.48701299008611,0.9437960732118923,True
64,12.393755,-72.881355,2,1,123,12.394205405069687,-72.88154272007463,0.8273375658200427,True
64,12.393755,-72.881355,2,2,124,12.39386716253391,-72.88138648121743,0.1642274081577866,True
