ra,dec,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,Bmag_APASS,e_Bmag_APASS,Vmag_APASS,e_Vmag_APASS,gmag_APASS,e_gmag_APASS,rmag_APASS,e_rmag_APASS,imag_APASS,e_imag_APASS
12.009524,-73.403946,012.0095683, 21,-73.4039153, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.026228,-73.110535,012.0262789, 15,-73.1105481, 15,12.756, 1,12.468, 1,12.554, 0,12.443, 0,12.387, 0

12.036872,-73.505272,012.0369342, 17,-73.5052581, 21,13.135, 0,13.060, 2,13.005, 1,13.064, 1,13.187, 1

12.078882,-73.249702,012.0790403, 16,-73.2497506, 28,13.139, 0,13.141, 1,13.048, 1,13.262, 1,13.454, 1

12.115704,-73.446945,012.1154050, 21,-73.4469039,105,12.986, 2,12.968, 1,12.910, 1,13.065, 1,13.152, 1

12.132593,-72.986565,012.1326324, 15,-72.9865353, 15,15.253, 1,13.664, 3,14.383, 1,13.150, 1,12.654, 1

12.138712,-73.209274,012.1387968, 19,-73.2092592, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.144304,-73.154884,012.1443668, 21,-73.1548814, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.146544,-72.369522,012.1466009, 16,-72.3695317, 16,15.149, 3,13.578, 1,14.320, 1,13.041, 1,12.541, 1

12.158935,-73.246552,012.1589871, 20,-73.2465395, 20,13.624, 2,13.512, 0,13.498, 1,13.538, 1,13.699, 1

12.189284,-72.924294,012.1893424, 19,-72.9242731, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.257829,-72.901375,012.2578803, 32,-72.9013581, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.299215,-72.692955,012.2992933, 17,-72.6929739, 17,15.081, 3,13.525, 1,14.252, 1,12.970, 1,12.492, 1

12.302837,-73.392799,012.3028883, 19,-73.3928198, 20,13.810, 1,13.791, 2,13.698, 1,13.858, 1,14.003, 1

12.314714,-73.202988,012.3147636, 19,-73.2030300, 17,13.483, 3,13.310, 1,13.337, 1,13.362, 1,13.461, 1

12.319302,-73.147079,012.3193477, 22,-73.1471164, 26,13.964, 1,13.805, 1,13.809, 1,13.861, 1,13.982, 1

12.385136,-72.487221,012.3852768, 18,-72.4872575, 20,15.605, 5,14.289, 1,14.870, 1,13.875, 1,13.459, 1

12.393755,-72.881355,012.3938409, 19,-72.8813656, 20,15.079, 3,14.164, 1,      ,  ,      ,  ,      ,

12.419711,-73.236916,012.4196306, 28,-73.2369364, 29,15.384, 5,14.099, 1,14.656, 0,13.676, 1,13.184, 0

12.42137,-72.301399,012.4213495, 26,-72.3014281, 20,15.230, 1,13.915, 1,14.555, 1,13.495, 1,13.040, 4

12.449533,-73.411659,012.4495039, 20,-73.4116656, 21,15.531, 2,14.333, 3,14.895, 1,13.956, 1,13.487, 1

12.482258,-73.047455,012.4822562, 17,-73.0474470, 17,14.748, 3,13.591, 1,14.155, 1,13.130, 1,12.670, 1

12.488276,-72.405502,012.4882253, 28,-72.4055123, 20,13.961, 1,13.912, 1,13.860, 1,14.031, 1,14.248, 1

12.498361,-73.07341,012.4983606, 18,-73.0734067, 18,14.028, 2,13.649, 2,13.764, 1,13.520, 1,13.460, 1

12.501577,-72.983681,012.5015648, 26,-72.9836617, 21,14.121, 1,13.807, 0,13.890, 1,13.781, 1,13.757, 1

12.549769,-73.354309,012.5497821, 20,-73.3543214, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.554437,-73.286179,012.5543774, 19,-73.2861784, 18,14.110, 2,13.588, 1,13.794, 1,13.482, 1,13.325, 1

12.56634,-73.169647,012.5662586, 18,-73.1696459, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.569629,-73.138657,012.5696224, 26,-73.1386567, 35,13.966, 3,13.880, 2,13.869, 1,13.940, 1,14.181, 1

12.575341,-72.455956,012.5753348, 20,-72.4559556, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.588534,-73.102638,012.5885324, 16,-73.1026384, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.619976,-72.752563,012.6199727, 70,-72.7525584, 14,13.302, 5,12.299, 1,12.741, 1,12.001, 1,11.718, 1

12.620275,-73.120697,012.6202798, 19,-73.1207128, 19,13.928, 1,13.826, 3,13.806, 1,13.898, 1,      ,

12.629437,-72.872421,012.6294489, 15,-72.8724100, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.638301,-72.962532,012.6383248, 17,-72.9625312, 17,13.429, 3,13.280, 1,      ,  ,      ,  ,      ,

12.669093,-72.834183,012.6690798, 17,-72.8341762, 20,13.871, 2,13.668, 1,13.705, 1,13.676, 1,13.762, 1

12.694161,-72.241043,012.6941777, 30,-72.2410798, 19,15.729, 1,14.222, 1,14.922, 1,13.713, 1,13.206, 4

12.708537,-73.394318,012.7085177, 18,-73.3943434, 19,13.656, 1,13.527, 1,13.503, 0,13.593, 0,13.723, 0

12.758097,-73.268562,012.7581409, 17,-73.2685634, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.779685,-72.998734,012.7796965, 20,-72.9987475, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.788992,-72.809959,012.7889539, 19,-72.8099806, 19,13.131, 1,12.994, 0,13.005, 1,13.063, 1,13.176, 1

12.799663,-72.471596,012.7996350, 16,-72.4716170, 17,12.669, 1,12.566, 1,12.535, 1,12.644, 1,12.754, 1

12.806897,-72.550446,012.8068892, 18,-72.5504453, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.816462,-73.159111,012.8165456, 16,-73.1591312, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.826005,-72.723526,012.8260333, 17,-72.7235334, 17,15.216, 5,13.837, 1,14.491, 1,13.392, 1,12.940, 1

12.833997,-73.136757,012.8339227, 19,-73.1367712, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.857086,-72.763344,012.8571518, 18,-72.7633356, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.858666,-72.888458,012.8586665, 18,-72.8884484, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.883954,-73.309235,012.8839650, 18,-73.3092567, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.90685,-72.433243,012.9068392, 16,-72.4332339, 20,14.760, 2,13.087, 1,13.855, 1,12.541, 1,11.994, 1

12.911544,-72.972351,012.9116000, 20,-72.9723437, 24,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.9154,-73.232407,012.9153903, 20,-73.2324212, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.921972,-72.933441,012.9219724, 21,-72.9334303, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.941341,-72.59816,012.9412548, 17,-72.5981498, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.999333,-72.766563,012.9993574, 16,-72.7665737, 39,12.960, 1,12.834, 1,12.817, 1,12.899, 1,13.056, 1

13.001509,-73.0895,013.0014439, 14,-73.0895506, 15,14.677, 3,13.715, 1,14.151, 1,13.387, 1,      ,

13.033491,-72.280327,013.0334550, 18,-72.2803487, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.038654,-72.99086,013.0387015, 15,-72.9908625, 15,13.808, 2,13.717, 1,13.642, 2,14.394,86,13.854, 7

13.048194,-73.329536,013.0482668, 17,-73.3295556, 14,14.424, 2,13.346, 1,13.834, 1,12.975, 1,12.627, 1

13.050167,-72.627411,013.0501559, 23,-72.6274500, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.051069,-72.727928,013.0511312, 21,-72.7279448, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.068365,-73.705978,013.0683277, 20,-73.7059956, 19,16.021, 3,14.579, 1,15.233, 1,14.094, 1,13.586, 1

13.079881,-71.911369,013.0798324, 22,-71.9113887, 21,15.872, 3,14.422, 3,15.066, 1,14.042, 1,13.554, 1

13.089044,-72.665497,013.0889753, 31,-72.6655837, 32,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.104091,-72.684158,013.1040748, 51,-72.6842095, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.127266,-72.319092,013.1272071, 20,-72.3191228, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.1284,-73.220673,013.1284339, 16,-73.2207187, 16,12.718, 1,12.467, 1,12.538, 1,12.476, 1,12.436, 1

13.1457,-72.433815,013.1457124, 17,-72.4338698, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.14854,-72.851479,013.1485583, 16,-72.8514628, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.162501,-73.009697,013.1624553, 16,-73.0097223, 15,13.656, 1,13.456, 1,13.473, 1,13.480, 1,13.512, 1

13.163567,-72.740128,013.1635898, 18,-72.7401664, 18,15.114, 4,13.808, 1,14.390, 1,13.308, 1,12.814, 1

13.1687,-72.745171,013.1687465, 23,-72.7451839, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.169555,-72.756119,013.1695545, 15,-72.7561387, 40,12.635, 1,12.561, 1,12.524, 1,12.637, 1,12.797, 1

13.173921,-73.065315,013.1740121, 26,-73.0653275, 27,15.561, 6,14.293, 1,14.813, 1,13.840, 1,13.437, 1

13.189993,-73.073402,013.1900309, 28,-73.0734234, 17,12.964, 1,12.849, 1,12.813, 1,12.868, 1,      ,

13.201415,-72.968979,013.2014230, 20,-72.9689703, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.211746,-72.775291,013.2117659, 18,-72.7753159, 18,13.654, 1,13.571, 1,13.520, 0,13.591, 0,13.748, 0

13.233808,-72.232277,013.2338300, 21,-72.2322550, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.237359,-72.394661,013.2373324, 21,-72.3946678, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.241423,-72.580956,013.2414021, 21,-72.5809645, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.245275,-73.139763,013.2453006, 22,-73.1397675, 29,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.249078,-73.441971,013.2490853, 21,-73.4419656, 19,15.552, 4,14.029, 1,14.700, 1,13.550, 1,13.080, 1

13.256099,-72.399757,013.2560874, 17,-72.3997856, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.256905,-72.508492,013.2568565, 16,-72.5085034, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.259931,-72.498817,013.2598359, 18,-72.4988153, 18,14.918, 3,14.042, 1,      ,  ,      ,  ,      ,

13.268429,-72.562134,013.2683392, 33,-72.5621156, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.279305,-72.171394,013.2793195, 21,-72.1713798, 26,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.309965,-72.641273,013.3099321, 20,-72.6412923, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.315513,-72.367493,013.3155042, 17,-72.3675023, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.316536,-73.259033,013.3165250, 29,-73.2590687, 32,13.082, 1,12.900, 1,12.902, 1,12.943, 1,12.970, 1

13.327935,-72.551033,013.3278574, 19,-72.5510570, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.329248,-71.703796,013.3291383, 20,-71.7038000, 20,15.570, 5,14.125, 2,14.810, 2,13.655, 3,13.194, 3

13.33919,-72.287971,013.3391965, 16,-72.2879770, 16,13.749,99,12.031,99,      ,  ,      ,  ,      ,

13.339863,-71.844383,013.3397850, 19,-71.8443889, 19,13.812, 1,13.606, 1,13.657, 1,13.622, 4,13.656, 2

13.345563,-72.413216,013.3455300, 19,-72.4132231, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.348422,-72.783722,013.3483898, 14,-72.7837364, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.350006,-73.11042,013.3500003, 65,-73.1103964, 65,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.358685,-72.489899,013.3586283, 19,-72.4898706, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.378453,-73.231285,013.3784774, 23,-73.2312995, 24,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.378894,-72.532722,013.3788521, 16,-72.5327473, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.405291,-72.398819,013.4052474, 15,-72.3988431, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.407487,-72.422089,013.4075330, 20,-72.4221270, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.407679,-72.54425,013.4076006, 14,-72.5442900, 32,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.412949,-72.393631,013.4128783, 24,-72.3936706, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.415298,-72.535828,013.4152236, 18,-72.5358631, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.417728,-72.409355,013.4176927, 20,-72.4093864, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.42474,-72.908089,013.4247380, 20,-72.9080939, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.427622,-72.287094,013.4276909, 31,-72.2871270, 13,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.433085,-72.089363,013.4331286, 15,-72.0893431, 19,13.304, 1,13.205, 0,      ,  ,      ,  ,13.332, 1

13.440647,-72.894165,013.4406771, 14,-72.8941706, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.442446,-72.531502,013.4423933, 18,-72.5315242, 26,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.446713,-73.248802,013.4467345, 21,-73.2488442, 19,14.029, 1,13.697, 1,13.774, 1,13.666, 1,13.608, 1

13.470145,-71.632614,013.4700968, 15,-71.6326250, 15,15.101, 6,13.713, 2,14.382, 3,13.295, 2,12.842, 0

13.477901,-72.437256,013.4779274, 19,-72.4372981, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.485679,-72.911011,013.4856515, 17,-72.9110053, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.495741,-72.362373,013.4957674, 18,-72.3624031, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.495896,-72.262009,013.4959203, 15,-72.2620425, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.507475,-72.317116,013.5074245, 17,-72.3171350, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.511337,-73.25885,013.5113048, 54,-73.2588898, 17,13.160, 1,12.976, 1,12.989, 1,12.965, 1,13.065, 1

13.525363,-73.061119,013.5254215, 27,-73.0611392, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.531955,-72.380341,013.5319445, 16,-72.3803717, 16,13.846, 1,13.548, 1,13.608, 1,13.390, 1,13.384, 1

13.540397,-72.374336,013.5403533, 17,-72.3743609, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.567612,-72.239929,013.5677224, 23,-72.2398989, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.59046,-72.508453,013.5904792, 16,-72.5084800, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.610954,-72.679138,013.6109527, 27,-72.6791662, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.611973,-72.883247,013.6119800, 14,-72.8832853, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.620808,-72.742271,013.6208368, 22,-72.7423089, 14,13.000, 1,13.102, 1,      ,  ,      ,  ,      ,

13.627097,-72.570183,013.6270333, 15,-72.5701981, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.638384,-72.180771,013.6384359, 19,-72.1807414, 17,15.956, 7,14.281, 1,      ,  ,      ,  ,      ,

13.648799,-72.665016,013.6488000, 18,-72.6650181, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.653195,-72.309631,013.6532521, 16,-72.3096134, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.65933,-72.601669,013.6593521, 19,-72.6016720, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.672227,-73.240891,013.6723103, 19,-73.2409464, 19,14.091, 1,13.731, 1,13.852, 1,13.688, 1,13.696, 1

13.672755,-72.237221,013.6728030, 14,-72.2371909, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.67278,-72.486137,013.6727668, 17,-72.4861317, 23,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.673452,-73.128853,013.6734180, 18,-73.1289067, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.693553,-72.46489,013.6934595, 17,-72.4648298, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.699284,-71.76387,013.6992536, 17,-71.7638859, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.699347,-71.414688,013.6993009, 17,-71.4146917, 17,13.817, 2,13.718, 2,13.724, 1,13.812, 5,13.905, 1

13.70945,-73.0466,013.7094130, 26,-73.0466409, 20,15.535, 5,14.189, 1,14.787, 1,13.726, 1,13.258, 1

13.712406,-73.099899,013.7124621, 22,-73.0999562, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.726891,-73.15094,013.7268824, 16,-73.1510042, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.761648,-72.768044,013.7616348, 20,-72.7680812, 18,14.897, 3,14.231, 1,14.497, 1,13.977, 1,13.777, 1

13.767206,-72.472443,013.7671974, 18,-72.4724328, 17,13.791, 1,13.358, 1,13.460, 1,13.247, 1,13.159, 1

13.784495,-72.567459,013.7844845, 16,-72.5675175, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.789353,-72.515457,013.7893680, 14,-72.5154562, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.79491,-72.45266,013.7948430, 46,-72.4526606, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.802364,-72.436417,013.8023142, 30,-72.4364270, 41,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.803228,-72.51178,013.8031930, 14,-72.5117773, 14,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.813378,-72.33728,013.8133850, 16,-72.3372625, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.841566,-71.789406,013.8415324, 16,-71.7894189, 20,13.336, 1,13.263, 2,13.229, 1,13.358, 0,13.490, 1

13.863108,-71.555687,013.8631121, 17,-71.5557025, 20,14.899, 2,13.301, 1,14.060, 2,12.796, 0,12.260, 3

13.865672,-72.729294,013.8657177, 14,-72.7293381, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.869121,-72.487114,013.8690189, 17,-72.4871353, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.875625,-72.480446,013.8755733, 18,-72.4804720, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.89679,-72.545395,013.8967871, 19,-72.5454314, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.924053,-72.303223,013.9241224, 22,-72.3031789, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.948352,-72.658638,013.9484062, 18,-72.6586823, 18,13.353, 1,13.339, 1,13.239, 1,13.362, 1,13.495, 1

13.952626,-73.043114,013.9525768, 20,-73.0431673, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.972648,-72.196625,013.9726998, 18,-72.1966123, 19,13.528, 1,13.492, 2,      ,  ,      ,  ,      ,

13.995879,-71.522568,013.9958600, 22,-71.5225506, 22,15.694, 1,14.481, 1,15.070, 2,14.078, 3,13.664, 1

13.998293,-72.175369,013.9983698, 20,-72.1753731, 24,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.002332,-72.83284,014.0022927, 19,-72.8328981, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.004046,-72.460983,014.0040450, 20,-72.4610109, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.007276,-72.499931,014.0072439, 16,-72.4999192, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.018476,-71.629814,014.0184727, 21,-71.6297959, 21,15.987, 5,14.487, 1,15.198, 1,14.016, 3,13.540, 5

14.029873,-72.470512,014.0299230, 18,-72.4705156, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.037303,-72.277908,014.0372339, 18,-72.2778856, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.045771,-72.44059,014.0457865, 19,-72.4405770, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.057666,-72.04567,014.0575992, 17,-72.0455950, 17,13.384, 1,13.331, 3,      ,  ,      ,  ,      ,

14.061519,-72.42244,014.0615386, 22,-72.4224184, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.087205,-72.84552,014.0871789, 18,-72.8455512, 18,13.940, 1,13.705, 1,13.754, 1,13.665, 1,13.737, 2

14.090327,-72.459961,014.0903865, 20,-72.4599570, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.094011,-72.476639,014.0940656, 63,-72.4766192, 26,      ,  ,      ,  ,      ,  ,      ,  ,      ,

