ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
84.229869,-69.193794                    ,084.2299277,-69.1937867,11.709, 7,.,11.557, 1,.,11.575, 5,.,11.545, 2,.,11.653, 3,.

84.29194,-69.145271                     ,084.2919509,-69.1452812,13.608, 6,.,13.373, 6,.,13.443, 1,.,13.339, 5,.,      ,  ,

84.350933,-69.432236                    ,084.3508903,-69.4322637,12.170, 1,.,12.052, 1,.,12.064, 6,.,12.090, 1,.,12.197, 2,.

84.454298,-69.085632                    ,084.4543174,-69.0856312,11.589, 5,.,11.395, 2,.,11.438, 4,.,11.393, 1,.,11.534, 2,.

84.539893,-69.105934                    ,084.5399398,-69.1059356,10.563, 5,.,10.207, 3,.,10.436, 1, ,10.143, 1, ,10.027, 1,.

84.551407,-69.01593                     ,084.5514006,-69.0159328,12.437, 6,.,12.352, 1,.,12.308, 4,.,12.402, 2,.,12.486, 6,.

84.564034,-69.067642                    ,084.5640656,-69.0676564,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.600885,-69.487045                    ,084.6008636,-69.4870664,13.154,10,.,12.886, 5,.,13.033,16,.,12.765, 8,.,12.759,12,.

84.649854,-69.102509                    ,084.6497948,-69.1025662,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.65058,-69.099403                     ,084.6505668,-69.0994542,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.654044,-69.085487                    ,084.6540245,-69.0855423,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.663114,-69.105888                    ,084.6630077,-69.1059620,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.668894,-69.099213                    ,084.6690686,-69.0992812,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.671604,-69.086929,,,,,,,,,,,,,,,,,

84.673399,-69.087212                    ,084.6734333,-69.0872148,11.213, 1, ,11.149, 3,.,11.007, 1, ,11.134, 1, ,11.352, 1,

84.674554,-69.103889,,,,,,,,,,,,,,,,,

84.676472,-69.082802                    ,084.6764468,-69.0828559,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.678093,-69.095123                    ,084.6780933,-69.0951831,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.680012,-69.104057,,,,,,,,,,,,,,,,,

84.684357,-69.101624                    ,084.6843442,-69.1016500,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.689769,-69.096565                    ,084.6897880,-69.0966245,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.690442,-69.106178                    ,084.6904439,-69.1062445,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.692281,-69.104744                    ,084.6923289,-69.1048362,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.71284,-69.498001                     ,084.7128803,-69.4980292,10.596, 0,.,10.431, 1,.,10.529, 1, ,10.441, 1, ,10.490, 2,.

84.715095,-69.13533                     ,084.7150865,-69.1353759,12.063,10,.,11.521, 6,.,11.750, 9,.,11.358, 6,.,11.212,12,.

84.722448,-69.033546                    ,084.7224339,-69.0335923,10.984, 5,.,11.107, 3,.,10.930, 6,.,11.165, 3,.,11.303, 3,.

84.737775,-69.10154                     ,084.7377924,-69.1015834,12.019, 5,.,11.939, 6,.,11.902, 1,.,11.910, 5,.,11.912, 3,.

84.742052,-69.488762                    ,084.7419700,-69.4887206,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.769867,-69.069397                    ,084.7699027,-69.0694367,12.983, 1, ,12.599, 1, ,12.626, 3,.,12.580, 4,.,      ,  ,

84.837381,-72.192619,,,,,,,,,,,,,,,,,

84.908046,-69.196167                    ,084.9080386,-69.1962084,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

84.962987,-69.277687                    ,084.9630318,-69.2776912,12.753, 8,.,12.678, 3,.,12.631, 5,.,12.756, 4,.,12.897, 4,.

85.000957,-68.477524,,,,,,,,,,,,,,,,,

85.050053,-69.521866                    ,085.0500789,-69.5218773,13.930, 1, ,13.442, 1, ,13.560, 1, ,13.264, 1, ,13.055, 3,.

85.050738,-69.668045                    ,085.0507139,-69.6680175,10.625, 1, , 9.915, 1, ,10.449, 1, , 9.717, 1, , 9.507, 1,

85.056237,-69.579239                    ,085.0562456,-69.5792592,12.190, 0,.,12.222,10,.,12.059, 1,.,12.299, 3,.,      ,  ,

85.104934,-69.311783                    ,085.1049606,-69.3117820,13.749, 8,.,13.172, 4,.,13.414, 5,.,13.051, 4,.,12.906, 3,.

85.105657,-69.243408                    ,085.1057080,-69.2434112,11.878, 8,.,11.479, 1,.,11.622, 5,.,11.417, 1,.,11.354, 2,.

85.142888,-69.556831                    ,085.1428539,-69.5568434,11.773, 1, ,11.648, 1, ,11.587, 1, ,11.674, 1, ,11.715, 4,.

85.147967,-68.117111                    ,085.1479450,-68.1170973,13.631, 2,.,11.975, 2,.,12.795, 2,.,11.424, 1,.,10.931, 1,.

85.153858,-69.320625                    ,085.1538486,-69.3206125,12.289, 7,.,12.019, 2,.,12.096, 4,.,12.015, 3,.,12.014, 3,.

85.203354,-69.280922                    ,085.2033833,-69.2808975,11.996, 6,.,11.876, 4,.,11.856, 4,.,11.939, 3,.,12.022, 2,.

85.240855,-69.258659                    ,085.2408912,-69.2586595,11.103, 6,.,10.752, 2,.,10.887, 2,.,10.717, 2,.,10.683, 2,.

85.246491,-69.343178                    ,085.2464368,-69.3431778,11.913, 9,.,11.263, 1,.,11.531, 6,.,11.110, 2,.,10.956, 3,.

85.334992,-69.085365                    ,085.3349930,-69.0853659,11.437, 7,.,11.311, 1,.,11.289, 6,.,11.360, 2,.,11.443, 3,.

85.44976,-67.424591                     ,085.4497527,-67.4245831,13.590, 2,.,13.155, 2,.,13.304, 3,.,13.115, 1,.,13.123, 1,

85.480018,-66.739258                    ,085.4800180,-66.7392698,12.437, 3,.,11.956, 0,.,12.142, 1,.,11.870, 0,.,11.847, 2,.

85.497118,-69.729179                    ,085.4971303,-69.7291748,12.424, 1, ,12.325, 1, ,12.243, 1, ,12.353, 1, ,12.409, 1,

85.498134,-67.343369                    ,085.4981009,-67.3433898,11.806, 6,.,11.748, 3,.,11.725, 2,.,11.821, 1,.,11.960, 3,.

85.535084,-69.211502                    ,085.5350642,-69.2114895,11.394, 1, ,11.099, 1, ,11.267, 1, ,      ,  , ,      ,  ,

85.538861,-68.458649                    ,085.5388974,-68.4586473,12.385, 4,.,11.839, 0,.,12.060, 3,.,11.717, 2,.,11.612, 4,.

85.560769,-68.51284                     ,085.5608227,-68.5128353,13.282, 4,.,12.750, 2,.,12.961, 3,.,12.625, 1,.,12.470, 7,.

85.621564,-67.328308                    ,085.6215268,-67.3283278,11.192, 2,.,10.818, 1,.,11.315,16,.,10.745, 0,.,10.753, 1,.

85.655485,-70.784775,,,,,,,,,,,,,,,,,

85.854866,-69.248528                    ,085.8549662,-69.2485073,11.161, 7,.,10.265, 2,.,10.697, 0,.,10.049, 3,., 9.752, 2,.

85.947186,-66.585823                    ,085.9471406,-66.5858264,13.391, 8,.,12.246, 2,.,12.804, 6,.,11.919, 2,.,11.651, 2,.

86.129225,-69.337624                    ,086.1292712,-69.3376309,12.846, 3,.,12.710, 4,.,12.707, 3,.,12.693, 4,.,12.807, 4,.

86.252525,-67.176193                    ,086.2525712,-67.1761917,10.866, 3,.,10.206, 8,.,11.030,14,.,10.095,12,., 9.906, 3,.

86.46637,-67.240532                     ,086.4663980,-67.2405362,11.856, 3,.,11.949, 1,.,11.847, 4,.,11.991, 2,.,12.302, 0,.

87.196465,-70.560646                    ,087.1965918,-70.5606048,12.040, 4,.,11.104, 0,.,11.578,10,.,10.768, 1,.,10.485, 2,.

88.296034,-69.328865                    ,088.2961127,-69.3288862,15.199, 4,.,13.990, 1,.,14.612, 3,.,13.463, 1,.,12.952, 8,.
