ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag
13.576145,-72.372658                    ,013.5761615,-72.3726964,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.592742,-72.338356                    ,013.5926921,-72.3383820,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.615561,-72.266136                    ,013.6156524,-72.2661059,13.726, 1,13.523, 1,      ,  ,      ,  ,      ,

13.692348,-72.222366                    ,013.6923959,-72.2223467,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.698917,-71.760323                    ,013.6988777,-71.7603295,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.701472,-72.723511                    ,013.7015677,-72.7235206,15.475, 5,14.314, 1,      ,  ,      ,  ,      ,

13.740135,-73.077827                    ,013.7401150,-73.0778559,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.765738,-73.010216                    ,013.7657103,-73.0102598,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.77444,-72.180992                     ,013.7744527,-72.1809762,15.404, 4,13.997, 1,      ,  ,      ,  ,      ,

13.843193,-72.277374                    ,013.8432095,-72.2773625,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.844402,-72.089409                    ,013.8443556,-72.0893756,12.960, 0,12.561, 0,12.731, 1,12.453, 1,12.414, 1

13.979501,-72.675148                    ,013.9794618,-72.6751667,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.982381,-72.452698                    ,013.9823224,-72.4527309,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.983587,-71.984108                    ,013.9835412,-71.9840998,13.964, 1,13.055, 2,13.483, 2,12.794, 1,12.562, 3

14.035505,-72.272568                    ,014.0354900,-72.2725348,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.052653,-72.272827                    ,014.0526021,-72.2728023,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.057833,-72.459015                    ,014.0578459,-72.4590125,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.065371,-72.462967                    ,014.0654339,-72.4629531,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.075,-72.463905                       ,014.0750427,-72.4638931,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.078349,-72.463211                    ,014.0784248,-72.4631942,11.557, 1,11.314, 1,      ,  ,      ,  ,11.070, 1

14.087156,-72.462318                    ,014.0873133,-72.4623131,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.091104,-72.464333                    ,014.0911318,-72.4643350,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.110164,-73.473137                    ,014.1101256,-73.4731445,14.470, 3,12.776, 0,13.583, 0,12.202, 2,11.692, 1

14.156336,-72.027702                    ,014.1563121,-72.0276150,12.660, 1,12.435, 1,12.513, 1,12.428, 1,12.444, 1

14.163603,-71.844841                    ,014.1635230,-71.8448539,14.547, 0,13.327, 2,13.942, 0,12.867, 0,12.399, 2

14.240453,-71.931976                    ,014.2404995,-71.9319153,14.829, 1,13.637, 1,14.223, 2,13.297, 3,12.976, 0

14.392303,-71.907814                    ,014.3922595,-71.9078298,16.195, 6,14.670, 1,15.340, 1,14.163, 4,13.684, 1

14.440073,-72.026474                    ,014.4400406,-72.0264189,15.514, 3,14.072, 1,14.716, 1,13.658, 1,13.268, 0

14.509452,-72.29908                     ,014.5094753,-72.2990484,12.289, 1,12.004, 1,      ,  ,      ,  ,      ,

14.521509,-72.216705                    ,014.5214986,-72.2166803,15.448, 8,14.094, 0,      ,  ,      ,  ,      ,

14.603494,-72.42289                     ,014.6035083,-72.4228628,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.650906,-72.204704                    ,014.6509189,-72.2046850,15.350, 3,14.217, 2,      ,  ,      ,  ,13.422, 5

14.671736,-72.437637                    ,014.6717668,-72.4376270,11.570, 1,11.456, 1,11.510, 1,11.553, 1,11.658, 0

14.698428,-71.942085                    ,014.6983783,-71.9420864,13.171, 1,13.138, 1,13.076, 0,13.260, 2,13.427, 1

14.724634,-72.20134                     ,014.7246998,-72.2013423,15.013, 5,13.358, 1,      ,  ,      ,  ,12.335, 3

14.726427,-71.943985                    ,014.7263827,-71.9439970,12.204, 0,12.055, 1,12.083, 1,12.095, 1,12.202, 2

14.782796,-71.913559                    ,014.7827553,-71.9135834,15.508, 4,14.087, 0,14.791, 0,13.637, 2,13.163, 1

