ra_1,dec_1,2MASS,Jmag,Jmag_err,Hmag,Hmag_err,Kmag,Kmag_err,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,J_org,K_org,SOURCE_ID,ra_2,dec_2,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,Separation,covariance
79.238854,-72.332352,05165732-7219564,11.866431085043988,,14.358,0.156,11.331454545454545,,UCU,626,20,0c0,0,0,11.947,11.366,4651328360421893760,79.23948633010001,-72.33237596130806,-0.1357079560869014,2.1797253521056588,0.1439403926868483,2.1844727993011475,0.0668651014566421,0.0605683624744415,0.0682394504547119,-1.988702416419983,0.0836432799696922,0.0957322046160698,-0.5929500460624695,255.42269897460935,0.0,0.0,0.9726194739341736,95,0.1369208097457885,False,17.256574630737305,17.71184539794922,16.348718643188477,2356.766942962218,1123.773432236917,2289.130100916841,2.599386692047119,906.6626586914062,26.349740982055664,42.64836883544922,44.45130157470703,51.49748229980469,1.448129415512085,0,1.3631267547607422,0.455270767211914,0.907855987548828,0.6962365743003994,1.864413265543899
84.837381,-72.192619,05392097-7211334,12.19743108504399,,14.512,0.108,12.077454545454543,,UAU,20,20,0c0,0,0,12.278,12.112,4650877801172125184,84.83731860000411,-72.19253781552152,0.1090632806585478,1.9202176609524408,0.7371948571211474,2.0568647384643555,0.0753430724143982,0.089756928384304,0.0796149671077728,1.3698841333389282,0.094167485833168,0.1072609424591064,-1.0420130491256714,242.07667541503903,0.0,0.0,0.9530227184295654,95,0.1628983914852142,False,17.40007209777832,17.87169075012207,16.517065048217773,2064.9904225050022,969.9306748355258,1960.3452154866495,2.251284599304199,917.2498168945312,31.024873733520508,31.263002395629883,26.743871688842773,73.30072784423828,1.4190263748168943,0,1.3546257019042969,0.47161865234375,0.8830070495605469,0.3002297165913533,1.6133278538029865
73.206056,-70.268257,04524945-7016057,13.196431085043988,0.029,13.2,0.03,13.164454545454545,0.04,AAA,222,111,000,0,0,13.277,13.199,4654937099322388992,73.20604746122332,-70.26826778117047,-0.0329697001191047,1.953263413971703,-0.115525302157173,1.9566768407821655,0.0133671909570693,0.0153517993167042,0.0137323830276727,-2.4008724689483643,0.0180226135998964,0.0194976646453142,-1.7745060920715332,249.5374755859375,0.0,0.0,0.9195933938026428,31,0.0283908322453498,False,13.726058959960938,13.817130088806152,13.549723625183104,60886.823461193875,40603.623693411966,30148.717675269407,32.816436767578125,1855.3758544921875,27.38605308532715,1482.6387939453125,20.19556999206543,1492.838134765625,1.1620304584503174,0,0.2674064636230469,0.0910711288452148,0.176335334777832,0.040175801042931,1.4294067704840774
73.248092,-70.298553,04525954-7017547,12.80343108504399,0.025,12.832,0.028,12.757454545454545,0.033,AAA,222,111,000,0,0,12.884,12.792,4654749288999352832,73.24809711287016,-70.29855822170559,-0.0805127028013013,1.9054662849198256,-0.2014169968684503,1.9160821437835691,0.0123944180086255,0.0138200111687183,0.0131532764062285,-6.121114253997803,0.0165507942438125,0.0191623121500015,-4.144202709197998,211.14776611328125,0.0,0.0,0.8068224191665649,31,0.0276758838444948,False,13.212663650512695,13.285250663757324,13.082440376281738,97696.99934637154,66269.92575675172,46364.13155377504,71.03724670410156,1375.2926025390625,86.58496856689453,765.37451171875,28.60298538208008,1620.9542236328125,1.1528916358947754,0,0.2028102874755859,0.0725870132446289,0.130223274230957,0.0197957985536225,1.9487411532251515
74.650541,-70.110649,04583612-7006383,11.82843108504399,0.021,11.524,0.024,11.438454545454546,0.026,AAA,222,111,000,0,0,11.909,11.473,4655116560262057216,74.65051383916912,-70.11065615145894,-0.0366513729935256,2.263040918574935,0.0228507019847883,2.2631561756134033,0.014699937775731,0.0148793244734406,0.0146627314388751,-2.4996278285980225,0.0184366125613451,0.0193184614181518,12.236729621887209,730.3394165039062,0.1086409389972686,8.41500186920166,1.5266779661178589,31,0.0289479885250329,False,13.45413589477539,13.944002151489258,12.822382926940918,78215.41784311255,36125.67643076186,58912.165620598375,1213.9354248046875,64.43128204345703,2172.111083984375,16.6315975189209,2030.82568359375,29.00897216796875,1.2150781154632568,0,1.1216192245483398,0.4898662567138672,0.6317529678344727,0.0420638787758823,3.349311637916828
72.73027,-69.984634,04505526-6959046,11.644431085043989,0.025,11.061,0.026,10.871454545454544,0.025,AAA,222,111,000,0,0,11.725,10.906,4655320416568894080,72.73042485508782,-69.98466220633028,-0.0127011863316516,1.9365478759689447,-0.098990001382221,1.93907630443573,0.0117086768150329,0.0112870633602142,0.011567641980946,-1.0979926586151123,0.0142337111756205,0.0138522395864129,-0.8474156260490417,333.5382080078125,0.0,0.0,0.9681193232536316,31,0.0200811475515365,False,13.74246597290039,14.488110542297363,12.90487003326416,59973.65067314535,21886.31340145537,54602.20907298201,22.87769889831543,2621.48974609375,34.38692855834961,636.4718627929688,83.97217559814453,650.24169921875,1.2753688097000122,0,1.5832405090332031,0.7456445693969727,0.8375959396362305,0.2161459630202986,1.292974654364669
73.885345,-69.962517,04553248-6957450,9.07943108504399,0.024,8.906,0.024,8.793454545454544,0.023,AAA,222,111,000,0,0,9.16,8.828,4655136518933846784,73.88527021100228,-69.96252407198898,-0.0136969487253542,1.9896005451217784,-0.0847412660784264,1.991404414176941,0.009955327026546,0.0116692017763853,0.0111212702468037,-1.23159921169281,0.0129003664478659,0.016028344631195,-4.729358196258545,504.0662536621094,0.0694359317421913,4.632166862487793,0.8199360966682434,31,0.0229658298194408,False,9.944231033325195,10.19174861907959,9.538670539855955,1982688.5975866427,1144768.3113236434,1212523.305881865,1405.4136962890625,1410.7508544921875,2546.169677734375,449.6040954589844,2052.138427734375,590.8584594726562,1.1889369487762451,0,0.6530780792236328,0.2475175857543945,0.4055604934692383,0.0956997255529312,1.369381843258625
74.545015,-69.949707,04581080-6956589,11.17143108504399,0.023,10.795,0.025,10.607454545454544,0.023,AAA,222,111,000,0,0,11.252,10.642,4655144146795764224,74.54500852795034,-69.94966184118881,0.0439510619115871,2.0530382247077177,-0.0885552193650716,2.0549471378326416,0.014116246253252,0.015121579170227,0.0141459545120596,3.1069703102111816,0.0180545151233673,0.0189836230129003,6.763411998748779,925.2095336914062,0.1319517493247985,15.205243110656738,1.2621206045150757,31,0.0288115069270133,False,12.8388671875,13.398585319519045,12.18850326538086,137847.75071596954,59701.1341228553,105622.6511440546,2213.826904296875,62.2667236328125,3686.43896484375,16.19479751586914,3846.639404296875,27.458423614501953,1.1993216276168823,0,1.2100820541381836,0.559718132019043,0.6503639221191406,0.162767852073169,1.7072592594446476
74.205879,-69.808746,04564941-6948314,9.615431085043989,0.022,9.117,0.023,8.922454545454546,0.023,AAA,222,111,000,0,0,9.696,8.957,4655159746116981504,74.2060009093814,-69.80875353725799,0.0140389314946685,2.0497492040276604,-0.0176826632954092,2.049825429916382,0.0108518721535801,0.0114185009151697,0.0113468822091817,1.2372500896453855,0.0134016685187816,0.0159348640590906,-5.4211812019348145,492.4533386230469,0.0725715085864067,5.458676338195801,0.7932139039039612,31,0.0225085373967885,False,11.558697700500488,12.301833152770996,10.737661361694336,448195.8601290983,163939.4480297429,401877.42153808527,336.85595703125,1330.5267333984375,445.08404541015625,368.3336791992187,692.18994140625,580.58837890625,1.2624322175979614,0,1.5641717910766602,0.7431354522705078,0.8210363388061523,0.1538904688346188,1.3503548833332235
72.63174,-69.56562,04503161-6933562,12.81943108504399,0.024,12.816,0.024,12.778454545454546,0.034,AAA,222,111,000,0,0,12.9,12.813,4655345224302748032,72.63183502519823,-69.56559885624812,-0.0127060494883515,1.9939264018731655,-0.1706484983236404,2.00121545791626,0.0110059911385178,0.0109777934849262,0.010846285149455,-1.1714656352996826,0.0133488979190588,0.0137424729764461,-2.057967185974121,363.6582946777344,0.0241454988718032,0.4142212867736816,0.9195018410682678,31,0.0193796288222074,False,13.320598602294922,13.40984058380127,13.150100708007812,88451.90271266758,59085.4460974728,43563.005094142296,35.821624755859375,2469.23193359375,44.26215744018555,1334.8975830078125,44.50440216064453,978.8471069335938,1.160500168800354,0,0.259739875793457,0.0892419815063476,0.1704978942871093,0.1416289508825755,1.9185708607413
