ra,dec,2MASS,ra_gaia,dec_gaia,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,Separation_1,covariance,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw1_mag,uvw1_mag_err,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,flag,logL,logT
7.521702,-73.913918,00300520-7354501,7.521802810794186,-73.91388314441221,-0.026041397532017715,0.5719813987248742,-1.2567475817438556,1.3807885646820068,0.01041460782289505,0.0095851831138134,0.011432625353336334,-2.2778141498565674,0.013140441849827766,0.01269461214542389,-0.7340110540390015,367.8222351074219,0.0,0.0,0.9728432297706604,31,0.019283263012766838,false,13.577747344970703,13.838484764099121,13.16068172454834,69798.77191414696,39812.82294867231,43140.538341529355,11.505346298217773,6066.63818359375,27.92631721496582,1425.63818359375,24.610198974609375,1752.95361328125,1.1884645223617554,0.16080172571598006,0.6099162020827269,12.694,12.386,12.349,0.024,0.025,0.025,AAA,14.773,0.173,14.145,0.029,13.68,0.036,12.927,0.082,,,,,,,1.0,4.026600492146291,3.7731406018682785
7.746443,-73.741425,00305914-7344291,7.746485724038547,-73.74141704632159,-0.024993323774233266,0.41834422160132495,-1.205390305360239,1.2759222984313965,0.012191865593194962,0.010720374062657356,0.012337513267993927,-2.025799036026001,0.016881577670574188,0.01568646915256977,-1.7325764894485474,291.5103759765625,0.0,0.0,0.9326427578926086,31,0.025743504986166954,false,13.75791072845459,14.05197525024414,13.29991340637207,59126.562056577815,32705.957689797073,37948.355744045,13.147598266601562,4497.1376953125,27.53338623046875,1187.865478515625,15.936826705932617,2381.173828125,1.1949673891067505,0.051712353571380244,2.202529890701168,12.722,12.424,12.37,0.023,0.024,0.03,AAA,14.684,0.039,14.459,0.09,13.776,0.07,13.188,0.04,,,,,,,1.0,4.010041520214789,3.7708465510721783
7.925977,-73.53167,00314223-7331540,7.925974568831074,-73.53167859622866,-0.01699608139544657,0.6308680303209292,-1.2163615728376236,1.3702298402786255,0.01242952048778534,0.01259272638708353,0.013607419095933437,-1.2490304708480835,0.016725881025195122,0.017101164907217026,-0.26380881667137146,301.6298522949219,0.0,0.0,0.988473653793335,31,0.024110250174999237,false,14.005489349365234,14.70418930053711,13.19632339477539,47070.733895336496,17936.63576267154,41747.326008462056,29.4421443939209,1598.7535400390625,51.404632568359375,348.9303283691406,76.4726333618164,545.9119873046875,1.2679632902145386,0.031045725510349217,0.21246372141171813,12.169,11.496,11.397,0.023,0.025,0.026,AAA,16.723,0.042,15.771,0.029,14.433,0.024,13.021,0.057,,,,,,,1.0,4.044608418030504,3.6347791705249826
7.948884,-73.599243,00314773-7335572,7.948886604741598,-73.59925025420705,5.399836958102332E-4,0.4290739596015315,-1.2368225496410932,1.3091349601745605,0.012887218967080116,0.013550733216106892,0.014344490133225918,0.037643980234861374,0.017505008727312088,0.019391994923353195,1.0072946548461914,326.84228515625,0.0,0.0,1.0396987199783325,31,0.028209617361426353,false,14.073972702026367,14.784157752990723,13.26526927947998,44193.426787027216,16663.017667101314,39178.75493941636,13.652436256408691,3237.035888671875,22.727176666259766,733.1759033203125,30.963048934936523,1265.339111328125,1.2635763883590698,0.02624901693710094,2.077607131290056,12.196,11.566,11.404,0.025,0.03,0.027,AAA,17.139,0.043,15.907,0.028,14.477,0.084,13.04,0.058,,,,,,,1.0,4.026778011235634,3.6290985955803414
7.980047,-73.578545,00315521-7334427,7.9800376855667094,-73.57855596015297,-0.009023608788870045,0.41659452001920527,-1.210775236267927,1.2804404497146606,0.012987841852009296,0.01319135632365942,0.014115503989160061,-0.6392693519592285,0.017942562699317932,0.0176143366843462,-0.7505571842193604,277.0830078125,0.0,0.0,0.9686307311058044,31,0.026227286085486412,false,14.097077369689941,14.868608474731445,13.252398490905762,43262.90520167813,15416.058185387015,39645.95088495288,12.376456260681152,3495.5810546875,21.52748680114746,716.1104736328125,26.02604103088379,1523.3184814453125,1.2727302312850952,0.0405793099097041,2.2203767241080037,12.102,11.388,11.238,0.021,0.024,0.025,AAA,17.611,0.048,16.109,0.215,14.595,0.029,13.106,0.045,,,,,,,1.0,4.036388455838606,3.6092892022946397
7.981742,-73.585571,00315561-7335080,7.981753167975522,-73.585587596634,0.01067472575296632,0.5852204914012918,-1.233575588235073,1.365354061126709,0.010396537370979786,0.010637108236551285,0.011460213921964169,0.9314595460891724,0.014708204194903374,0.014227408915758133,2.0296237468719482,339.3794250488281,0.0,0.0,1.0824408531188965,31,0.021220022812485695,false,13.420150756835938,14.198451042175293,12.569463729858398,80702.41189335656,28578.30129403607,74365.7255060173,46.30059051513672,1743.0103759765625,61.88413619995117,461.8033447265625,107.74806213378906,690.1815795898438,1.2756004333496094,0.06081846343158991,0.44810981818609696,11.415,10.728,10.582,0.023,0.025,0.025,AAA,16.743,0.07,15.464,0.031,13.909,0.05,11.773,0.121,,,,,,,1.0,4.323310793338593,3.617613145232212
8.228736,-73.821953,00325489-7349190,8.228831426480989,-73.82197362604799,0.003556606095797876,0.5890922002874017,-1.2082284185480883,1.3441895246505737,0.013942825607955456,0.01278948038816452,0.014750288799405098,0.2411211133003235,0.020909465849399567,0.019557029008865356,2.7017476558685303,382.74237060546875,0.043455712497234344,1.0164847373962402,1.1096875667572021,31,0.030744493007659912,false,14.011183738708496,14.316107749938965,13.52361011505127,46824.493539464354,25643.28989270965,30882.610970771933,499.6681213378906,93.71118927001953,1039.365966796875,24.67205047607422,760.292236328125,40.6193962097168,1.2071865797042847,0.12114179884409518,0.4465749739110933,12.807,12.634,12.529,0.026,0.028,0.026,AAA,16.034,0.059,14.479,0.061,14.435,0.03,13.582,0.036,,,,,,,1.0,4.03439240577564,3.7949809867982798
8.560188,-73.619049,00341444-7337085,8.560172261771488,-73.61910464439373,0.03038171922011621,0.4665440756444317,-1.3855729283750338,1.4620108604431152,0.01315920427441597,0.012774740345776081,0.014036055654287338,2.16454815864563,0.01751839555799961,0.016867848113179207,-1.9416859149932861,449.1437683105469,0.0723966583609581,3.258145809173584,0.9261645674705505,95,0.025786591693758965,false,13.892948150634766,14.614034652709961,13.07589054107666,52211.66792789757,19489.606274589907,46644.67164193672,13.878259658813477,3762.119140625,22.025068283081055,884.8828735351562,33.54659652709961,1390.4442138671875,1.2666571140289307,0.2009560848479343,3.7411992937933216,11.977,11.295,11.145,0.029,0.037,0.029,AAA,17.038,0.048,15.759,0.049,14.324,0.023,12.802,0.072,,,,,,,1.0,4.098910276301404,3.617888734270881
8.637665,-73.873337,00343303-7352240,8.637638341662976,-73.87335106567635,-0.052054353942151355,0.3834180323629106,-1.2106414220423158,1.2699062824249268,0.012130229733884335,0.01119263842701912,0.012265930883586407,-4.243815898895264,0.016482621431350708,0.015648961067199707,-0.29683151841163635,454.9852294921875,0.0628637745976448,3.460092067718506,0.9870092272758484,31,0.024221204221248627,false,13.183502197265625,13.253357887268066,13.04561710357666,100356.54436713498,68245.4415322071,47963.538185792364,52.52988052368164,1910.4658203125,52.00017547607422,1312.407958984375,22.878293991088867,2096.46484375,1.157961130142212,0.05722440686872509,2.7317365901559603,12.863,12.792,12.743,0.029,0.034,0.032,AAA,13.408,0.048,13.237,0.077,13.16,0.086,12.946,0.061,,,,,,,1.0,4.206011752897837,3.87934638199243
8.763608,-73.549622,00350326-7332586,8.763561853763328,-73.5496866658732,0.027597467303076266,0.5562931381578659,-1.2437993507506722,1.3625340461730957,0.010528570041060448,0.01021773461252451,0.01137558650225401,2.426025867462158,0.01281878724694252,0.013798646628856659,0.5732467770576477,339.9757995605469,0.0,2.1895265938184525E-15,1.0211654901504517,31,0.01982213370501995,false,13.456645965576172,14.18393325805664,12.637133598327637,78034.83537334822,28963.012188303088,69872.28160664756,23.41178321838379,3333.1435546875,31.894201278686523,908.0964965820312,66.24774169921875,1054.7119140625,1.266553521156311,0.23750302274137866,0.6823471326033199,11.572,10.914,10.77,0.02,0.022,0.023,AAA,16.636,0.089,15.336,0.026,13.8,0.041,12.108,0.186,,,,,,,1.0,4.272655917772488,3.626271506057682
