ra_1,dec_1,2MASS,ra_gaia,dec_gaia,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,Separation_1,covariance,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl,Umag_MCPS,e_Umag_MCPS,Bmag_MCPS,e_Bmag_MCPS,Vmag_MCPS,e_Vmag_MCPS,Imag_MCPS,e_Imag_MCPS,uvw1mag_SWIFT,e_uvw1mag_SWIFT,uvw2mag_SWIFT,e_uvw2mag_SWIFT,uvm2mag_SWIFT,e_uvm2_SWIFT,flag,logL,logT,Umag_SMASH,e_Umag_SMASH,Gmag_SMASH,e_Gmag_SMASH,Rmag_SMASH,e_Rmag_SMASH,Imag_SMASH,e_Imag_SMASH,Zmag_SMASH,e_Zmag_SMASH,Bmag_APASS,e_Bmag_APASS,Vmag_APASS,e_Vmag_APASS,gmag_APASS,e_gmag_APASS,rmag_APASS,e_rmag_APASS,imag_APASS,e_imag_APASS
7.521702,-73.913918,00300520-7354501,7.521802810794186,-73.91388314441221,-0.0260413975320177,0.5719813987248742,-1.2567475817438556,1.3807885646820068,0.010414607822895,0.0095851831138134,0.0114326253533363,-2.2778141498565674,0.0131404418498277,0.0126946121454238,-0.7340110540390015,367.8222351074219,0.0,0.0,0.9728432297706604,31,0.0192832630127668,false,13.577747344970703,13.83848476409912,13.16068172454834,69798.77191414696,39812.82294867231,43140.538341529355,11.505346298217772,6066.63818359375,27.92631721496582,1425.63818359375,24.610198974609375,1752.95361328125,1.1884645223617554,0.16080172571598,0.6099162020827269,12.694,12.386,12.349,0.024,0.025,0.025,AAA,14.773,0.173,14.145,0.029,13.68,0.036,12.927,0.082,,,,,,,1.0,4.026600492146291,3.7731406018682785,15.04221534729004,0.0070989998057484,,,,,,,,,14.173,2,13.705,3,13.889,3,13.59,2,13.519,2
7.746443,-73.741425,00305914-7344291,7.746485724038547,-73.74141704632159,-0.0249933237742332,0.4183442216013249,-1.205390305360239,1.2759222984313965,0.0121918655931949,0.0107203740626573,0.0123375132679939,-2.025799036026001,0.0168815776705741,0.0156864691525697,-1.7325764894485474,291.5103759765625,0.0,0.0,0.9326427578926086,31,0.0257435049861669,false,13.75791072845459,14.05197525024414,13.29991340637207,59126.562056577815,32705.957689797073,37948.355744045,13.147598266601562,4497.1376953125,27.53338623046875,1187.865478515625,15.936826705932615,2381.173828125,1.1949673891067505,0.0517123535713802,2.202529890701168,12.722,12.424,12.37,0.023,0.024,0.03,AAA,14.684,0.039,14.459,0.09,13.776,0.07,13.188,0.04,,,,,,,1.0,4.010041520214789,3.7708465510721783,15.284738540649414,0.0032309999223798,14.053250312805176,0.012253999710083,,,,,,,14.441,3,13.926,2,14.107,0,13.782,2,13.667,4
7.925977,-73.53167,00314223-7331540,7.925974568831074,-73.53167859622866,-0.0169960813954465,0.6308680303209292,-1.2163615728376236,1.3702298402786257,0.0124295204877853,0.0125927263870835,0.0136074190959334,-1.2490304708480835,0.0167258810251951,0.017101164907217,-0.2638088166713714,301.6298522949219,0.0,0.0,0.988473653793335,31,0.0241102501749992,false,14.005489349365234,14.70418930053711,13.19632339477539,47070.733895336496,17936.63576267154,41747.326008462056,29.4421443939209,1598.7535400390625,51.404632568359375,348.9303283691406,76.4726333618164,545.9119873046875,1.2679632902145386,0.0310457255103492,0.2124637214117181,12.169,11.496,11.397,0.023,0.025,0.026,AAA,16.723,0.042,15.771,0.029,14.433,0.024,13.021,0.057,,,,,,,1.0,4.044608418030504,3.6347791705249826,17.53934669494629,0.0051199998706579,15.00507926940918,0.0013879999751225,,,,,,,15.788,1,14.438,3,15.086,2,14.009,2,13.574,3
7.948884,-73.599243,00314773-7335572,7.948886604741598,-73.59925025420705,5.399836958102E-4,0.4290739596015315,-1.2368225496410932,1.3091349601745603,0.0128872189670801,0.0135507332161068,0.0143444901332259,0.0376439802348613,0.017505008727312,0.0193919949233531,1.0072946548461914,326.84228515625,0.0,0.0,1.0396987199783323,31,0.0282096173614263,false,14.073972702026367,14.784157752990724,13.26526927947998,44193.426787027216,16663.017667101314,39178.75493941636,13.652436256408691,3237.035888671875,22.72717666625977,733.1759033203125,30.963048934936523,1265.339111328125,1.2635763883590698,0.0262490169371009,2.077607131290056,12.196,11.566,11.404,0.025,0.03,0.027,AAA,17.139,0.043,15.907,0.028,14.477,0.084,13.04,0.058,,,,,,,1.0,4.026778011235634,3.6290985955803414,17.916418075561523,0.0045449999161064,15.231487274169922,0.0012799999676644,14.085504531860352,0.0033360000234097,13.527772903442385,0.014121999964118,13.361371040344238,0.0514210015535354,15.495,3,14.311,2,14.853,2,13.907,3,13.535,5
7.980047,-73.578545,00315521-7334427,7.980037685566709,-73.57855596015297,-0.00902360878887,0.4165945200192052,-1.210775236267927,1.2804404497146606,0.0129878418520092,0.0131913563236594,0.01411550398916,-0.6392693519592285,0.0179425626993179,0.0176143366843462,-0.7505571842193604,277.0830078125,0.0,0.0,0.9686307311058044,31,0.0262272860854864,false,14.09707736968994,14.868608474731444,13.252398490905762,43262.90520167813,15416.058185387015,39645.95088495288,12.376456260681152,3495.5810546875,21.52748680114746,716.1104736328125,26.02604103088379,1523.3184814453125,1.2727302312850952,0.0405793099097041,2.2203767241080037,12.102,11.388,11.238,0.021,0.024,0.025,AAA,17.611,0.048,16.109,0.215,14.595,0.029,13.106,0.045,,,,,,,1.0,4.036388455838606,3.60928920229464,18.295852661132812,0.0050780000165104,15.27650547027588,0.0013320000143721,,,13.423425674438477,0.0147740002721548,,,16.109,5,14.566,1,15.326,2,14.127,3,13.652,1
7.981742,-73.585571,00315561-7335080,7.981753167975522,-73.585587596634,0.0106747257529663,0.5852204914012918,-1.233575588235073,1.365354061126709,0.0103965373709797,0.0106371082365512,0.0114602139219641,0.9314595460891724,0.0147082041949033,0.0142274089157581,2.029623746871948,339.3794250488281,0.0,0.0,1.0824408531188965,31,0.0212200228124856,false,13.420150756835938,14.198451042175291,12.569463729858398,80702.41189335656,28578.30129403607,74365.7255060173,46.30059051513672,1743.0103759765625,61.88413619995117,461.8033447265625,107.74806213378906,690.1815795898438,1.2756004333496094,0.0608184634315899,0.4481098181860969,11.415,10.728,10.582,0.023,0.025,0.025,AAA,16.743,0.07,15.464,0.031,13.909,0.05,11.773,0.121,,,,,,,1.0,4.323310793338593,3.617613145232212,17.359643936157227,0.0043790000490844,14.548666000366213,0.0012400000123307,,,,,,,15.357,5,13.891,2,14.607,2,13.425,3,12.943,3
8.228736,-73.821953,00325489-7349190,8.228831426480989,-73.82197362604799,0.0035566060957978,0.5890922002874017,-1.2082284185480885,1.3441895246505735,0.0139428256079554,0.0127894803881645,0.014750288799405,0.2411211133003235,0.0209094658493995,0.0195570290088653,2.7017476558685303,382.7423706054687,0.0434557124972343,1.0164847373962402,1.109687566757202,31,0.0307444930076599,false,14.011183738708496,14.316107749938965,13.52361011505127,46824.493539464354,25643.28989270965,30882.610970771933,499.6681213378906,93.71118927001952,1039.365966796875,24.67205047607422,760.292236328125,40.6193962097168,1.207186579704285,0.1211417988440951,0.4465749739110933,12.807,12.634,12.529,0.026,0.028,0.026,AAA,16.034,0.059,14.479,0.061,14.435,0.03,13.582,0.036,,,,,,,1.0,4.03439240577564,3.79498098679828,15.978545188903809,0.0044740000739693,14.538130760192873,0.0013099999632686,,,,,,,14.602,21,14.055,12,14.277,17,13.926,13,13.802,13
8.560188,-73.619049,00341444-7337085,8.560172261771488,-73.61910464439373,0.0303817192201162,0.4665440756444317,-1.3855729283750338,1.4620108604431152,0.0131592042744159,0.012774740345776,0.0140360556542873,2.16454815864563,0.0175183955579996,0.0168678481131792,-1.941685914993286,449.1437683105469,0.0723966583609581,3.258145809173584,0.9261645674705504,95,0.0257865916937589,false,13.892948150634766,14.61403465270996,13.07589054107666,52211.66792789757,19489.606274589907,46644.67164193672,13.878259658813477,3762.119140625,22.025068283081055,884.8828735351562,33.54659652709961,1390.4442138671875,1.2666571140289309,0.2009560848479343,3.7411992937933216,11.977,11.295,11.145,0.029,0.037,0.029,AAA,17.038,0.048,15.759,0.049,14.324,0.023,12.802,0.072,,,,,,,1.0,4.098910276301404,3.617888734270881,17.73272132873535,0.0070940000005066,14.91749095916748,0.0026579999830573,,,,,,,15.681,4,14.237,1,14.928,1,13.817,0,13.354,4
8.637665,-73.873337,00343303-7352240,8.637638341662976,-73.87335106567635,-0.0520543539421513,0.3834180323629106,-1.2106414220423158,1.2699062824249268,0.0121302297338843,0.0111926384270191,0.0122659308835864,-4.243815898895264,0.0164826214313507,0.0156489610671997,-0.2968315184116363,454.9852294921875,0.0628637745976448,3.460092067718506,0.9870092272758484,31,0.0242212042212486,false,13.183502197265623,13.253357887268066,13.04561710357666,100356.54436713498,68245.4415322071,47963.53818579237,52.52988052368164,1910.4658203125,52.00017547607422,1312.407958984375,22.878293991088867,2096.46484375,1.157961130142212,0.057224406868725,2.7317365901559603,12.863,12.792,12.743,0.029,0.034,0.032,AAA,13.408,0.048,13.237,0.077,13.16,0.086,12.946,0.061,,,,,,,1.0,4.206011752897837,3.87934638199243,13.864444732666016,0.0043540000915527,,,,,,,,,13.293,3,13.201,1,13.171,1,13.271,1,,
8.763608,-73.549622,00350326-7332586,8.763561853763328,-73.5496866658732,0.0275974673030762,0.5562931381578659,-1.2437993507506722,1.3625340461730957,0.0105285700410604,0.0102177346125245,0.011375586502254,2.426025867462158,0.0128187872469425,0.0137986466288566,0.5732467770576477,339.9757995605469,0.0,2.1895265938184525E-15,1.0211654901504517,31,0.0198221337050199,false,13.456645965576172,14.18393325805664,12.637133598327637,78034.83537334822,28963.012188303088,69872.28160664756,23.41178321838379,3333.1435546875,31.894201278686523,908.0964965820312,66.24774169921875,1054.7119140625,1.266553521156311,0.2375030227413786,0.6823471326033199,11.572,10.914,10.77,0.02,0.022,0.023,AAA,16.636,0.089,15.336,0.026,13.8,0.041,12.108,0.186,,,,,,,1.0,4.272655917772488,3.626271506057682,17.290069580078125,0.0053630000911653,14.65909194946289,0.0033950000070035,13.35204029083252,0.0112849995493888,12.768921852111816,0.0080199996009469,,,15.326,3,13.892,3,14.586,2,13.459,1,13.008,2
