ra,dec,target,total_offsets,offset_telescopes,discard_telescopes,time_start,time_end,visual_check,discard_lc
82.580741,-65.90361,689,,opk,,,,,
82.606141,-66.959465,690,,opk,,,,,
82.751967,-69.18647,700,,mni,,,,,
82.840846,-70.957069,702,,,,2.45963E6,2.4608E6,,
82.910079,-67.469894,704,,,,,,,1.0
83.25456,-69.374802,715,,E,i,,,,
83.437062,-67.000183,720,,k,,,,,
83.546271,-69.42907,725,,mj,,,,,
83.578245,-69.438858,726,,nm,,,,,
83.666828,-67.502647,728,,k,,,,,
83.900594,-68.534393,734,0,,,,,,
84.059698,-69.191147,737,,mji,,,,,
84.073025,-68.963707,738,,Emi,,,,,
84.236771,-69.271767,741,,jmn,,,,,
84.392608,-69.45929,747,,m,i,,,,
84.611746,-69.764206,751,,,,,,,1.0
84.661939,-69.13736,752,,mnji,,,,,
84.677308,-69.017288,753,,ni,,,,,
84.76943,-67.879074,758,,ko,,,,,
84.916091,-69.20118,762,,mni,,,,,
84.916984,-69.742706,763,,nj,,,,,
85.053551,-69.581863,768,,nj,,,,,
85.072987,-69.515961,770,,j,mnji,,,1.0,
85.145193,-69.66127,775,,,,,,,
85.244159,-69.25267,777,,,jEmi,,,1.0,
85.249355,-69.644539,778,,E,,,,,
85.375419,-69.325356,785,,,i,,,,
85.419263,-69.368065,787,,Ei,,,,,
85.500693,-69.212509,791,,En,,,,,
85.507777,-68.714325,792,,,,,,1.0,1.0
85.537535,-69.216705,794,,,,,,,1.0
85.549741,-69.207756,795,,m,i,,,,
85.576602,-68.461136,797,,nmji,,,,,
85.58733,-69.487892,798,,Ei,,,,,
85.629423,-68.268906,801,,j,,,,,
86.007315,-67.633423,809,,ijn,,,,,
86.136478,-67.576225,813,,nji,,,,1.0,
86.210766,-67.494606,817,0,,,,,,
86.31922,-68.99778,818,,,,,,,1.0
86.499385,-71.228409,822,,E,,,,,
86.528952,-67.713066,824,,,,,,,1.0
86.529825,-67.78405,825,,komi,,,,,
86.542931,-68.006226,826,,mok,,,,,
86.560745,-67.568611,827,,i,,,,,
87.261889,-70.041725,835,,iE,,,,,
87.564943,-67.729652,836,,miko,,,,,
88.22397,-69.48793,839,,Eijm,,,,1.0,
89.406794,-68.133484,842,,l,l,,,1.0,
8.648353,-72.544128,852,,,,,,,1.0
12.631599,-73.478493,855,,,Hkl,,,,
12.525349,-73.129242,873,,,Hkl,,,,
13.213406,-73.114868,877,,,Hlk,,,,
13.094174,-72.664154,889,,,k,,,,
14.057833,-72.459015,894,,,Hko,,,,
14.091104,-72.464333,895,,,Hko,,,,
14.087156,-72.462318,896,,,Hko,,,,
14.065371,-72.462967,897,,,Hko,,,,
14.075,-72.463905,898,,,Hko,,,,
14.078349,-72.463211,899,,,Hk,,,,
14.860701,-72.165016,923,,,,,,1.0,1.0
18.377089,-73.336182,937,,,,,,,1.0
18.59014,-73.212502,939,,,ko,,,,
17.236885,-73.042908,943,,,ko,,,,
15.315233,-72.543571,958,,,ko,,,,
16.782522,-72.511818,960,,,ko,,,,
16.825903,-72.467659,962,,,,,,,1.0
16.484653,-72.329117,965,,,o,,,1.0,
15.320793,-72.292,967,,,ko,,,,
15.706694,-72.1707,974,,,,,,,1.0
16.220421,-72.143562,975,,,okj,,,,
16.229481,-72.043449,983,,,okj,,,1.0,1.0
16.234879,-72.043686,984,,,okj,,,1.0,1.0
84.837381,-72.192619,1013,,,,,,,1.0
73.885345,-69.962517,1018,,,,,,,1.0
72.992118,-69.426094,1026,,,,,,1.0,1.0
73.559379,-69.21019,1029,,,j,,,1.0,
73.796107,-67.169563,1036,,,,,,,1.0
73.791937,-66.845169,1037,,,k,,,,
74.286767,-66.39032,1042,,,Hpok,,,,
77.412202,-71.400597,1043,,,,,,,1.0
75.53078,-71.33699,1044,,,,,,1.0,1.0
79.443194,-69.849213,1048,,,,,,,1.0
79.660998,-69.762985,1050,,,,,,,1.0
78.707893,-69.661682,1053,,,,,,,1.0
79.81816,-69.655548,1054,,,,,,,1.0
79.507622,-69.560493,1058,,,mi,,,,
79.483648,-69.267715,1062,,,,,,,1.0
79.559796,-69.250305,1063,,,,,,1.0,1.0
77.189406,-68.761696,1070,,,ijmEF,,,,
77.595029,-68.7733,1071,,,,,,1.0,1.0
76.481297,-67.886337,1076,,,,,,,1.0
76.049455,-67.547256,1077,,,,,,,1.0
76.06218,-67.251457,1078,,,,,,1.0,1.0
78.184431,-67.266029,1080,,,,,,,1.0
75.786776,-66.959686,1081,,,,,,,1.0
75.170337,-66.475151,1087,,,p,,,,
76.056509,-66.43293,1089,,,,,,,1.0
76.062157,-66.431305,1090,,,,,,,1.0
81.230202,-70.270058,1096,,,,,,,1.0
80.906046,-70.118706,1097,,,,,,,1.0
81.283955,-69.895432,1099,,,,,,,1.0
80.140506,-69.543167,1104,,,mE,,,,
82.708743,-69.524811,1105,,,,,,,1.0
80.343293,-69.452255,1106,,,,,,,1.0
81.621463,-69.450912,1107,,,,,,1.0,1.0
84.182111,-69.496521,1110,,,mn,,,1.0,
84.742052,-69.488762,1112,,,,,,,1.0
84.71284,-69.498001,1113,,,,,,1.0,1.0
84.018773,-69.402321,1114,,,,,,1.0,1.0
84.111621,-69.397614,1115,,,,,,1.0,
82.594033,-69.327492,1117,,,mni,,,1.0,
82.635222,-69.153328,1126,,,,,,,1.0
84.715095,-69.13533,1130,,,i,,,,
82.074104,-69.071808,1131,,,mi,,,,
84.539893,-69.105934,1137,,,,,,,1.0
84.654044,-69.085487,1139,,,,,,,1.0
84.65058,-69.099403,1140,,,,,,,1.0
84.678093,-69.095123,1141,,,,,,,1.0
84.668894,-69.099213,1142,,,,,,1.0,1.0
84.676472,-69.082802,1143,,,,,,,1.0
84.673399,-69.087212,1144,,,,,,,1.0
84.671604,-69.086929,1145,,,,,,,1.0
84.684357,-69.101624,1146,,,jn,,,1.0,1.0
84.674554,-69.103889,1147,,,,,,1.0,
84.680012,-69.104057,1148,,,m,,,1.0,1.0
84.663114,-69.105888,1149,,,,,,1.0,1.0
84.649854,-69.102509,1150,,,,,,,1.0
84.689769,-69.096565,1151,,,,,,,1.0
84.692281,-69.104744,1153,,,,,,1.0,
84.690442,-69.106178,1154,,,,,,1.0,
81.973408,-69.032906,1156,,,,,,,1.0
81.963349,-69.015373,1157,,,,,,,1.0
81.967294,-69.006363,1158,,,,,,1.0,1.0
82.714471,-69.049652,1159,,,,,,1.0,1.0
84.722448,-69.033546,1163,,,,,,,1.0
81.939353,-68.985687,1165,,,,,,,1.0
82.091541,-68.996727,1166,,,m,,,,
82.218854,-68.991371,1167,,,m,,,,
82.130734,-68.898819,1170,,,,,,1.0,1.0
84.041992,-68.928085,1171,,,,,,,1.0
84.134891,-68.900429,1172,,,,,,,1.0
81.645346,-68.868721,1174,,,mi,,,1.0,
81.688791,-68.831322,1175,,,,,,1.0,1.0
82.967797,-68.544136,1180,,,,,,,1.0
82.354256,-68.466972,1181,,,,,,1.0,1.0
83.086306,-67.52153,1190,,,Gk,,,,
81.516514,-67.499176,1192,,,plk,,,,1.0
81.69618,-67.479385,1193,,,pkl,,,,
82.08476,-67.405075,1195,,,Hlp,,,,
83.73109,-67.351929,1196,,,,,,,1.0
82.509449,-67.045898,1203,,,l,,,,
83.593595,-67.023216,1205,,,,,,,1.0
83.750996,-67.020187,1206,,,G,,,,1.0
81.531756,-66.594673,1216,,,Hpl,,,,
81.943503,-66.238586,1224,,,,,,,1.0
87.196465,-70.560646,1233,,,ji,,,,
