# ra dec
13.952626 -73.043114
13.972648 -72.196625
13.982381 -72.452698
13.983587 -71.984108
13.995879 -71.522568
13.998293 -72.175369
14.002332 -72.83284
14.004046 -72.460983
14.007276 -72.499931
14.018476 -71.629814
14.029873 -72.470512
14.037303 -72.277908
14.045771 -72.44059
14.057666 -72.04567
14.057833 -72.459015
14.061519 -72.42244
14.075 -72.463905
14.087205 -72.84552
14.090327 -72.459961
14.091104 -72.464333
14.094011 -72.476639
14.099992 -72.487503
14.10552 -72.471741
14.110164 -73.473137
14.113846 -72.468483
14.115696 -73.507523
14.127534 -72.231476
14.128729 -71.77256
14.129824 -72.152824
14.148048 -72.254349
14.156336 -72.027702
14.15696 -72.781036
14.159138 -72.310638
14.163603 -71.844841
14.164053 -72.755936
14.19015 -72.242996
14.200639 -71.179138
14.230442 -72.405762
14.240453 -71.931976
14.241053 -72.531876
14.241137 -71.940659
14.242771 -72.521553
14.255295 -72.14254
14.264679 -72.334267
14.267084 -72.149261
14.268831 -72.494507
14.270352 -72.241432
14.276385 -72.254517
14.299565 -72.369591
14.311585 -71.504509
14.338515 -72.110527
14.347047 -72.02668
14.37155 -72.161362
14.385288 -72.100685
14.391292 -72.070297
14.408075 -72.058754
14.440073 -72.026474
14.44261 -72.705765
14.472133 -72.412888
14.472561 -72.083511
14.481763 -72.422295
14.487046 -73.562134
14.504971 -71.613731
14.506239 -72.594238
14.507126 -72.326561
14.521509 -72.216705
14.558781 -71.969238
14.596641 -72.359787
14.603494 -72.42289
14.650906 -72.204704
14.689378 -72.276627
14.698428 -71.942085
14.71651 -72.348312
14.722887 -72.360008
14.724634 -72.20134
14.727953 -72.849892
14.729435 -72.552078
14.733524 -71.976097
14.739664 -72.288078
14.775518 -71.783722
14.79997 -72.576653
14.804474 -72.377014
14.821316 -71.810242
14.871415 -72.017967
14.872271 -72.330978
14.896359 -72.241386
14.916991 -72.226891
14.918924 -72.348892
14.925954 -72.163506
14.953141 -72.273399
14.966761 -71.671074
14.978644 -72.218468
15.005334 -72.48336
15.007992 -72.017464
15.014473 -71.961395
15.026778 -72.428185
15.039916 -72.566467
15.047952 -72.024902
15.051331 -72.155411
15.054616 -72.334679
15.056647 -72.352814
15.098814 -72.631149
15.138538 -72.563477
15.145673 -72.366623
15.154256 -72.690392
15.201425 -73.687996
15.210984 -72.48114
15.237393 -71.930885
15.261213 -72.198441
15.267479 -72.440582
15.275109 -72.626404
15.287348 -72.262398
15.302052 -72.268593
15.337624 -71.502335
15.340866 -71.954842
15.444264 -72.437416
15.444664 -72.562927
15.456195 -72.095955
15.489279 -72.071449
15.532258 -72.292458
15.554542 -72.939476
15.61304 -72.279282
15.645905 -72.505547
15.646989 -72.192581
15.656626 -71.275955
15.658785 -72.135178
15.664665 -71.832069
15.664685 -72.301323
15.666333 -72.190926
15.679321 -72.123909
15.705051 -72.156441
15.706694 -72.1707
15.727274 -72.545883
15.739019 -73.128609
15.752757 -72.503365
15.771704 -72.154785
15.781884 -72.210083
15.787205 -71.930763
15.841267 -72.84407
15.845589 -72.603508
15.856523 -72.042595
15.886565 -72.41571
15.898766 -72.283546
15.934614 -72.539604
15.940762 -72.818794
15.947997 -72.071434
15.954565 -73.712296
15.977364 -72.827797
15.979622 -72.046432
15.993419 -71.90551
15.995159 -72.385849
16.024857 -73.818291
16.029622 -72.642746
16.050177 -72.978088
16.101214 -72.178276
16.103029 -72.009552
16.110107 -72.651344
16.113623 -72.547836
16.114842 -72.595474
16.148901 -72.070976
16.180614 -71.649818
16.197788 -72.044441
16.230061 -72.513527
16.233804 -72.251961
16.24057 -72.385185
16.264754 -72.108932
16.297483 -72.724457
16.299472 -71.72628
16.352517 -72.924828
16.370598 -72.67263
16.382862 -72.763603
16.445653 -71.772797
16.457567 -72.369637
16.491363 -71.320442
16.537387 -72.402466
16.553088 -72.631592
16.562863 -72.560211
16.563437 -72.591248
16.571746 -72.462975
16.573929 -72.243042
16.671322 -72.896004
16.757307 -73.177071
16.791081 -73.498528
16.823183 -73.22393
16.834747 -72.852707
16.846935 -72.442535
16.859741 -72.364197
16.875432 -72.409515
16.897636 -72.276939
16.956915 -72.214272
16.976536 -72.683044
16.982439 -72.673393
17.022895 -72.14518
17.030683 -71.81395
17.048329 -72.521729
17.051814 -71.691063
17.061598 -72.624634
17.063286 -72.503166
17.121713 -72.45359
17.226705 -73.999603
17.22848 -72.414505
17.314073 -72.275597
17.321614 -71.556213
17.334506 -71.411934
17.354747 -72.260063
17.404208 -73.30085
17.552019 -72.62529
17.581409 -73.300209
17.622524 -73.28093
17.62284 -72.826271
17.629456 -73.466484
17.689535 -73.286728
17.793628 -73.086525
17.831687 -72.474892
17.839703 -71.217178
17.855835 -73.284515
17.881686 -73.579437
18.112667 -71.441185
18.146575 -73.159828
18.18153 -73.294205
18.189286 -72.072845
18.234879 -73.533585
18.263969 -73.205635
18.284948 -73.339905
18.288232 -72.890564
18.325872 -73.363472
18.40252 -72.920547
18.409569 -73.278755
18.475151 -73.397247
18.47522 -72.861008
18.59014 -73.212502
18.616893 -72.664871
18.6571 -71.876244
18.69335 -73.35096
18.752301 -73.799683
18.756336 -73.666168
18.79781 -73.142822
18.861405 -73.337494
18.869048 -73.260292
19.104533 -73.146667
19.146585 -73.382652
19.219859 -73.216873
19.242433 -73.71965
19.275741 -73.647217
19.3377 -73.595901
19.345612 -73.35466
19.363246 -72.677254
19.417553 -73.202896
19.435629 -73.481575
19.470878 -73.62368
19.476828 -73.834572
19.917681 -73.335297
19.928189 -73.5327
68.923506 -72.361092
69.433509 -69.584549
69.807742 -71.735428
70.332642 -70.115997
70.510723 -70.524918
70.535779 -67.44735
70.779561 -70.458649
