RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,best_period,alarm_level_flag,std_amplitude,logT,logL
7.521702,-73.913918,10.29840415704388,10.289,13.86844572748268,13.869,0.0,113813.52988453695,445.21481470753974,0.0,113813.52988453695,481.4586760400094,0.0,113813.52988453695,517.1382425339492,0.0,0.7519999999999989,9.945,10.697,0.0790000000000006,1.0636400000000013,9.80296,10.8666,0.1120400000000003,1.3079999999999998,1.7269645902897428,0.0,0.1015392432624098,3.7731406018682785,4.026600492146291
7.746443,-73.741425,8.200792372881356,8.1845,14.115612288135596,14.118000000000002,0.0,5626.733135357459,484.8224477935998,0.0,5626.733135357459,522.5950809004801,0.0,5626.733135357459,559.7051964065645,0.0,0.5324499999999999,7.97,8.50245,0.0699000000000005,0.7458,7.87855,8.62435,0.0985800000000018,1.075000000000001,3.144802784959602,1.0,0.1251050901754421,3.7708465510721783,4.010041520214789
7.925977,-73.53167,3.68745243128964,3.691,14.983959830866809,14.982,0.0,3740.677233045256,485.83769002227086,0.0,3740.677233045256,523.6486723459751,0.0,3740.677233045256,560.7946750683226,0.0,0.4552,3.4686,3.9238,0.133799999999999,0.6591599999999982,3.39072,4.049879999999998,0.1926000000000005,0.9380000000000002,309.2481948431621,0.0,0.0940222712978154,3.6347791705249826,4.044608418030504
7.948884,-73.599243,4.36314406779661,4.367,14.800966101694916,14.800000000000002,0.0,2943.066962825006,484.8224477935998,0.0,2943.066962825006,522.5950809004801,0.0,2943.066962825006,559.7051964065645,0.0,0.3724499999999997,4.16255,4.535,0.0929999999999982,0.5723199999999995,4.06113,4.63345,0.1428699999999985,0.7880000000000003,384.14528668752587,1.0,0.1018640550650016,3.6290985955803414,4.026778011235634
7.980047,-73.578545,3.044330490405118,3.036,15.192012793176971,15.194,0.0,2199.9299349690145,481.7766236145655,0.0,2199.9299349690145,519.4339639500644,0.0,2199.9299349690145,556.4361889664004,0.0,0.3465999999999996,2.8828,3.2293999999999996,0.1232000000000006,0.5570000000000004,2.816,3.373,0.1959999999999997,0.6859999999999999,1.1265978690694205,1.0,0.0194446423122842,3.60928920229464,4.036388455838606
7.981742,-73.585571,5.602350210970465,5.5954999999999995,14.529586497890296,14.5305,0.0,5833.861516605772,486.85291608829937,0.0,5833.861516605772,524.7022069919153,0.0,5833.861516605772,561.8840589920933,0.0,0.5440999999999994,5.34565,5.889749999999999,0.1053500000000013,0.7696700000000005,5.265949999999999,6.03562,0.1483500000000006,0.899,173.58262976858117,0.0,0.1209337513774472,3.617613145232212,4.323310793338593
8.228736,-73.821953,6.783914046121594,6.235,14.356075471698112,14.413,0.0,272761.30972887616,489.89849782223706,0.0,272761.30972887616,527.8624719298451,0.0,272761.30972887616,565.1516453305468,0.0,5.5272,4.7863999999999995,10.3136,0.8335999999999988,6.136520000000001,4.647,10.78352,0.9137199999999996,6.888,15.8243049685175,0.0,1.497730662477909,3.79498098679828,4.03439240577564
8.560188,-73.619049,4.125329809725159,4.125,14.862073995771672,14.862000000000002,0.0,3536.0886535235013,485.83769002227086,0.0,3536.0886535235013,523.6486723459751,0.0,3536.0886535235013,560.7946750683226,0.0,0.4946000000000001,3.8974,4.392,0.1303999999999998,0.6964800000000002,3.78864,4.48512,0.1831200000000006,0.8809999999999998,27.929154328293713,1.0,0.1396318156818755,3.617888734270881,4.098910276301404
8.637665,-73.873337,25.140864274570983,25.133,12.899205928237128,12.899,0.0,20130.82184963621,656.202321606502,0.0,20130.82184963621,699.9629762509568,0.0,20130.82184963621,742.6776242919044,0.0,1.0109999999999992,24.631,25.642,0.0429999999999992,1.463199999999997,24.3882,25.8514,0.0631999999999983,2.401,345.6511763094278,1.0,0.3551042962630699,3.87934638199243,4.206011752897837
8.763608,-73.549622,5.856075949367088,5.8635,14.481371308016875,14.480000000000002,0.0,4265.42519516147,486.85291608829937,0.0,4265.42519516147,524.7022069919153,0.0,4265.42519516147,561.8840589920933,0.0,0.4320500000000002,5.64095,6.073,0.08,0.7266700000000004,5.50333,6.23,0.1343500000000013,0.904,419.45098250948786,1.0,0.0958204102496338,3.626271506057682,4.272655917772488
8.763859,-74.203384,8.413569327731093,8.416,14.088222689075632,14.087,0.0,16317.487810506487,488.88331993738177,0.0,16317.487810506487,526.8091066050546,0.0,16317.487810506487,564.0625438252773,0.0,0.8815,7.976,8.8575,0.1140000000000007,1.3039999999999994,7.7565,9.0605,0.1684999999999998,1.8039999999999992,115.18117004468252,0.0,0.2135643965629334,3.614334824858832,4.508927671971229
8.989162,-73.734062,4.559694915254236,4.5595,14.753074152542371,14.753,0.0,2944.1289873077176,484.8224477935998,0.0,2944.1289873077176,522.5950809004801,0.0,2944.1289873077176,559.7051964065645,0.0,0.3730000000000002,4.372,4.745,0.0879999999999991,0.5283500000000005,4.30155,4.8299,0.1258700000000008,0.7549999999999999,308.73420316200037,1.0,0.0899782751557285,3.614064349294519,4.15813168499091
9.124077,-73.918602,10.830046315789474,10.821,13.813654736842109,13.814000000000002,0.0,7979.57329828842,487.8681260429913,0.0,7979.57329828842,525.7556850185192,0.0,7979.57329828842,562.9733484781736,0.0,0.5982999999999983,10.5531,11.1514,0.0602999999999998,0.8872,10.42422,11.31142,0.0885200000000026,1.109,331.96786127219906,0.0,0.0901457153723904,3.865872919730731,4.005627998428851
9.380191,-74.411057,3.7138291139240502,3.716,14.976018987341773,14.975,0.0,2828.817918885396,486.85291608829937,0.0,2828.817918885396,524.7022069919153,0.0,2828.817918885396,561.8840589920933,0.0,0.3668,3.5309,3.8977,0.1076999999999994,0.6092399999999998,3.41657,4.02581,0.1780799999999995,0.762,7.840705306307081,1.0,0.1303334918168254,3.6242999756552186,4.039180295764412
9.508638,-73.630348,10.107275210084032,10.119,13.888676470588235,13.887,0.0,6998.873224992444,488.88331993738177,0.0,6998.873224992444,526.8091066050546,0.0,6998.873224992444,564.0625438252773,0.0,0.6397500000000012,9.7735,10.41325,0.0692499999999984,0.9454999999999992,9.6585,10.604,0.1020000000000003,1.3070000000000004,213.27406447225147,0.0,0.1353369822533074,3.67965435274591,4.087350795881269
9.563685,-73.017746,4.700372881355932,4.7065,14.720305084745764,14.718,0.0,3955.9007633437486,484.8224477935998,0.0,3955.9007633437486,522.5950809004801,0.0,3955.9007633437486,559.7051964065645,0.0,0.5131500000000004,4.43765,4.9508,0.1188999999999982,0.72248,4.34013,5.06261,0.1668699999999994,1.0789999999999995,418.1945354357741,0.0,0.1262252175896538,3.608513883384824,4.18488274465806
9.57867,-73.525597,7.367379454926624,7.181,14.246371069182391,14.260000000000002,0.0,164707.15255106654,489.89849782223706,0.0,164707.15255106654,527.8624719298451,0.0,164707.15255106654,565.1516453305468,0.0,3.4044000000000008,5.8582,9.2626,0.4974000000000007,3.779559999999999,5.71084,9.4904,0.5516800000000011,4.064,36.87168047940182,0.0,0.6843291223929479,3.689903794746307,4.048967917058972
9.818972,-72.032875,8.355968749999999,7.3005,14.144783333333333,14.242,0.0,343057.27723561367,492.9439359232631,0.0,343057.27723561367,531.0222321029693,0.0,343057.27723561367,568.4183897434416,0.0,8.633749999999997,5.49995,14.133699999999996,1.0242000000000004,9.513479999999998,5.30965,14.82313,1.1143099999999997,9.932,18.867522991672647,0.0,2.259746780592174,3.756468455364246,4.0739798016246125
10.190774,-72.673569,5.370771488469602,5.365,14.575515723270442,14.576000000000002,0.0,4088.2967006011686,489.89849782223706,0.0,4088.2967006011686,527.8624719298451,0.0,4088.2967006011686,565.1516453305468,0.0,0.5534000000000008,5.1053999999999995,5.6588,0.1119999999999983,0.8545599999999993,4.91884,5.7734,0.173960000000001,1.2519999999999998,333.04305237208956,0.0,0.2040517321048756,3.61761314523221,4.300110793338582
10.191936,-73.717102,8.286400419287212,7.832,14.14361215932914,14.165,0.0,405890.34314031183,489.89849782223706,0.0,405890.34314031183,527.8624719298451,0.0,405890.34314031183,565.1516453305468,0.0,6.7906,5.5026,12.2932,0.8734000000000002,7.405600000000001,5.31276,12.71836,0.9482400000000002,7.784999999999999,28.49760579748648,0.0,1.4132368264024258,3.726839240543738,4.062092386730764
10.512744,-73.888428,4.059195789473684,4.061,14.87952210526316,14.879,0.0,2988.819120305412,487.8681260429913,0.0,2988.819120305412,525.7556850185192,0.0,2988.819120305412,562.9733484781736,0.0,0.4178000000000006,3.8625,4.2803,0.1123000000000011,0.6912399999999996,3.69428,4.38552,0.1865600000000018,0.8559999999999999,420.07804524263946,1.0,0.0718061449249268,3.607237523040355,4.111887197158831
10.598432,-73.412109,4.305993697478992,4.303,14.81548949579832,14.816000000000004,0.0,2708.790198961573,488.88331993738177,0.0,2708.790198961573,526.8091066050546,0.0,2708.790198961573,564.0625438252773,0.0,0.4717500000000001,4.0735,4.54525,0.1189999999999997,0.7215000000000003,3.96125,4.68275,0.1817499999999974,1.0220000000000002,511.08222110082954,0.0,0.1319159033458648,3.613524824796109,4.192941829032256
