RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf
13.001509,-73.0895,0.04627,0.3763,0.14666,1.13644
13.033491,-72.280327,0.04493,0.26016,0.14244,0.7857
13.038654,-72.99086,0.04647,0.35209,0.14731,1.06331
13.048194,-73.329536,0.04524,0.43398,0.1434,1.31062
13.050167,-72.627411,0.04708,0.42324,0.14926,1.27818
13.051069,-72.727928,0.04724,0.46424,0.14975,1.40202
13.068365,-73.705978,0.04296,0.1375,0.13618,0.41526
13.079881,-71.911369,0.04264,0.12314,0.13516,0.3719
13.089044,-72.665497,0.04709,0.47281,0.14926,1.42789
13.104091,-72.684158,0.04709,0.48021,0.14929,1.45024
13.127266,-72.319092,0.04508,0.25537,0.14289,0.77121
13.1284,-73.220673,0.04572,0.56815,0.14494,1.71581
13.1457,-72.433815,0.04597,0.22837,0.14572,0.68966
13.14854,-72.851479,0.04671,0.44171,0.14806,1.33397
13.162501,-73.009697,0.04631,0.30687,0.14681,0.92675
13.163567,-72.740128,0.04704,0.44694,0.14912,1.34976
13.1687,-72.745171,0.04702,0.44153,0.14905,1.33342
13.169555,-72.756119,0.04698,0.43079,0.14893,1.30098
13.173921,-73.065315,0.04621,0.32365,0.14649,0.97742
13.189993,-73.073402,0.04619,0.32688,0.14641,0.98718
13.201415,-72.968979,0.04634,0.3147,0.14689,0.95038
13.211746,-72.775291,0.04686,0.40889,0.14855,1.23485
13.233808,-72.232277,0.0445,0.25655,0.14108,0.77479
13.237359,-72.394661,0.04554,0.24417,0.14437,0.7374
13.241423,-72.580956,0.0467,0.34953,0.14804,1.05558
13.245275,-73.139763,0.04603,0.43951,0.1459,1.32731
13.249078,-73.441971,0.04447,0.37504,0.14097,1.13263
13.256099,-72.399757,0.04556,0.24793,0.14443,0.74875
13.256905,-72.508492,0.04642,0.28215,0.14715,0.85209
13.259931,-72.498817,0.04634,0.278,0.14689,0.83957
13.268429,-72.562134,0.04662,0.32367,0.14778,0.97749
13.279305,-72.171394,0.04415,0.20248,0.13996,0.6115
13.309965,-72.641273,0.04665,0.4623,0.14787,1.39613
13.315513,-72.367493,0.04525,0.25839,0.14343,0.78034
13.316536,-73.259033,0.04555,0.53865,0.14439,1.62673
13.327935,-72.551033,0.0465,0.31641,0.1474,0.95556
13.329248,-71.703796,0.04116,0.0698,0.13048,0.2108
13.33919,-72.287971,0.04473,0.25044,0.14179,0.75632
13.339863,-71.844383,0.04223,0.1019,0.13388,0.30773
13.345563,-72.413216,0.04556,0.27091,0.14442,0.81816
13.348422,-72.783722,0.04653,0.38387,0.14749,1.1593
13.350006,-73.11042,0.04606,0.3613,0.146,1.09113
13.358685,-72.489899,0.04612,0.29644,0.1462,0.89526
13.378453,-73.231285,0.04561,0.51797,0.14458,1.56426
13.378894,-72.532722,0.04639,0.30931,0.14706,0.93412
13.405291,-72.398819,0.04538,0.27276,0.14386,0.82373
13.407487,-72.422089,0.04555,0.2849,0.14439,0.8604
13.407679,-72.54425,0.04635,0.3215,0.14694,0.97092
13.412949,-72.393631,0.04534,0.27031,0.14372,0.81633
13.415298,-72.535828,0.04633,0.31715,0.14688,0.95778
13.417728,-72.409355,0.04545,0.27894,0.14406,0.84239
13.42474,-72.908089,0.04613,0.30159,0.14623,0.91081
13.427622,-72.287094,0.04465,0.23198,0.14155,0.70059
13.433085,-72.089363,0.04366,0.13552,0.1384,0.40926
13.440647,-72.894165,0.04613,0.30853,0.14623,0.93175
13.442446,-72.531502,0.04629,0.31814,0.14673,0.96077
13.446713,-73.248802,0.04547,0.47584,0.14415,1.43705
13.470145,-71.632614,0.04025,0.06239,0.1276,0.18842
13.477901,-72.437256,0.04557,0.29836,0.14447,0.90105
13.485679,-72.911011,0.04604,0.29229,0.14594,0.88271
13.495741,-72.362373,0.04503,0.25225,0.14275,0.7618
13.495896,-72.262009,0.04449,0.21426,0.14102,0.64706
13.507475,-72.317116,0.04474,0.22963,0.14183,0.69348
13.511337,-73.25885,0.04536,0.43175,0.1438,1.30388
13.525363,-73.061119,0.04598,0.26204,0.14575,0.79136
13.531955,-72.380341,0.04512,0.26466,0.14304,0.79928
13.540397,-72.374336,0.04507,0.2601,0.14288,0.78551
13.567612,-72.239929,0.04434,0.20316,0.14057,0.61356
13.59046,-72.508453,0.04591,0.32535,0.14554,0.98256
13.610954,-72.679138,0.04594,0.43399,0.14563,1.31066
13.611973,-72.883247,0.04581,0.29956,0.14521,0.90468
13.620808,-72.742271,0.04588,0.39684,0.14544,1.19845
13.627097,-72.570183,0.04596,0.35344,0.14569,1.06738
13.638384,-72.180771,0.04404,0.17102,0.13961,0.51647
13.648799,-72.665016,0.04585,0.42378,0.14536,1.2798
13.653195,-72.309631,0.04461,0.24057,0.1414,0.72653
13.65933,-72.601669,0.04587,0.38437,0.14542,1.16081
13.672227,-73.240891,0.04529,0.32774,0.14358,0.98977
13.672755,-72.237221,0.04427,0.21624,0.14035,0.65304
13.67278,-72.486137,0.04565,0.32779,0.1447,0.98991
13.673452,-73.128853,0.04589,0.26733,0.14549,0.80733
13.693553,-72.46489,0.04549,0.32782,0.14419,0.99001
13.699284,-71.76387,0.04128,0.09351,0.13085,0.28241
13.699347,-71.414688,0.03799,0.05118,0.12044,0.15455
13.70945,-73.0466,0.04576,0.22312,0.14506,0.67381
13.712406,-73.099899,0.04587,0.23295,0.14539,0.7035
13.726891,-73.15094,0.04575,0.25872,0.14501,0.78135
13.761648,-72.768044,0.04547,0.38103,0.14415,1.15071
