star_idx,RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,largest_amp_mag,best_period,alarm_level_flag,std_amplitude,logT,logT_std,logL,logL_std,binary,SIMBAD_maintype,SIMBAD_othertypes,teff,teff_std
0,7.521702,-73.913918,10.391343256816743,10.397328249284621,13.858572104319192,13.857643041038122,0,164328.7637296295,2731.830361003,0,164328.7637296295,2819.953086459194,0,164328.7637296295,2904.2138513342607,0,0.652342503495074,10.060031101651514,10.712373605146588,0.06861543098757039,0.9542217323552364,9.902972155615336,10.857193887970572,0.09985119125096098,1.0806419367635147,0.11350743610022995,2.2547343456324658,0,0.18052019355539536,3.795895651664008,0.0005209000540711,4.025972010650774,0.0069559645398469,False,Star,*|MIR|NIR|s?b,6250.225,7.496624240283091
1,7.746443,-73.741425,8.302783117173592,8.298339823357658,14.102184737562265,14.10265789344045,0,21582.824395855667,2285.882975266664,0,21582.824395855667,2366.5879559092814,0,21582.824395855667,2443.90039517506,0,0.5111451972721479,8.05238157357492,8.563526770847067,0.06634210655955108,0.7425006215004686,7.929360013114332,8.6718606346148,0.09701032071277105,0.8628906603237878,0.11299999999999955,228.60858792688788,1,0.03972703630320205,3.778176583489546,0.0006765618968225,3.9625101528770807,0.0068122515008604,False,Star,*|MIR|NIR,6000.35,9.347593273137209
2,7.925977,-73.53167,3.6830921307367586,3.683722296429041,14.985224502583916,14.984516691251725,0,15944.28945768519,2274.8062615304875,0,15944.28945768519,2355.318176530294,0,15944.28945768519,2432.449772142273,0,0.4486193843193873,3.4531551837292174,3.9017745680486047,0.13187395234950472,0.638378794530932,3.3717536274281628,4.010132421959095,0.18784903193842162,0.7455890234940306,0.2203598330926031,201.14910185686884,0,0.02081834689292058,3.646506650641312,0.0109507549455972,3.9895348782229783,0.0063697662793183,True,RedSG_Candidate,*|MIR|NIR|s?r,4431.05,111.72912556715012
3,7.948884,-73.599243,4.445411631179945,4.445611447446913,14.780700986334153,14.780419294661481,0,12589.719677371535,2299.9803407410855,0,12589.719677371535,2380.930361413223,0,12589.719677371535,2458.4723288206196,0,0.4145033099799855,4.240434550037272,4.654937860017258,0.10120310005943978,0.6005824205782586,4.140339566016275,4.740921986594533,0.14703805954284732,0.7166413824172295,0.17600000000000193,485.2739108530634,0,0.025701923112992922,3.653219751956391,0.0004178304065061,4.001668983840928,0.0072704790683986,False,RedSG_Candidate,*|MIR|NIR|s?r,4500.075,4.329477451148117
4,7.980047,-73.578545,3.370866226746889,3.368827134829491,15.081476775116203,15.081124230230074,0,13266.781168414767,2291.924740242267,0,13266.781168414767,2372.734830930131,0,13266.781168414767,2450.145726363749,0,0.41852504321400286,3.167022142375459,3.585547185589462,0.13457033460645995,0.6153635600912071,3.064660375196994,3.680023935288201,0.19821878155751627,0.7257441864195808,0.2350000000000012,372.5107503822114,0,0.022099912598967486,3.6283557180259254,0.0009205720884436,3.996245289190244,0.0072876986884943,False,RedSG_Candidate,*|MIR|NIR|s?r,4249.675,9.00801726241685
5,7.981742,-73.585571,5.984414565312665,5.98226309710396,14.458030746252973,14.45792786962671,0,29300.441865574736,2342.270648055073,0,29300.441865574736,2423.951286863853,0,29300.441865574736,2502.177623900858,0,0.629950512509569,5.6797912649586255,6.3097417774681945,0.11413449995601077,0.8750267857399194,5.5644908628475065,6.439517648587426,0.15843132737407828,1.0848816662430174,0.19700000000000095,1002.2374879380268,0,0.0036032654969564426,3.628388930050312,0.0,4.2731276448277535,0.0078833619101818,True,RedSG_Candidate,*|MIR|NIR|s?r,4250.0,0.0
6,8.228736,-73.821953,6.841190840772095,6.320977666746703,14.346638527590523,14.398225100223696,0,1045526.0400693247,2391.6060245448602,0,1045526.0400693247,2474.130708638812,0,1045526.0400693247,2553.147666408268,0,5.626378551663284,4.807673397757161,10.434051949420445,0.8413486801967736,6.298228871748552,4.578446838849089,10.876675710597642,0.9391982151808822,8.611254748326482,1.5761370671348995,15.840122470532574,0,0.5447503345585994,3.79070728732768,0.0111043916955548,3.928721340723477,0.0261390064264666,False,ClassicalCep,*|cC*|Ce*|NIR|s?b|V*,6176.0,157.9129507038609
7,8.560188,-73.619049,4.149078864483675,4.1509934394328845,14.855739011513329,14.854674006204565,0,27390.498328038986,1975.6588547276028,0,27390.498328038986,2050.7664186324773,0,27390.498328038986,2122.835885331438,0,0.4458329262230438,3.924282940017673,4.370115866240717,0.11686189596703578,0.6581923444820443,3.8249341130086068,4.483126457490651,0.1723218864862428,0.7375433319316995,0.19455720528987897,6.9010166988337485,1,0.13600679553539585,3.6378398258490057,0.012095044257012,4.076020490028913,0.0083276961012646,True,RedSG_Candidate,*|MIR|NIR|s?r,4343.5,120.9659042871172
8,8.637665,-73.873337,25.143222748815166,25.134,12.899094786729858,12.899000000000001,0,18874.812143332132,648.0973513299974,0,18874.812143332132,691.5938784273117,0,18874.812143332132,734.0612797676672,0,0.9595999999999982,24.6626,25.6222,0.04139999999999944,1.333680000000001,24.46932,25.803,0.05767999999999951,1.586000000000002,0.06799999999999962,1.7561659802301668,1,0.17918699907451177,3.91493257225064,0.0076562290373416,4.196810851381923,0.0105426556046077,False,ChemPec*,*|NIR|Pe*|s?b,8221.15,144.93163043311145
9,8.763608,-73.549622,5.82904288109158,5.828555061554566,14.486468914733086,14.486,0,18453.459889396167,1714.648007885952,0,18453.459889396167,1784.694965354872,0,18453.459889396167,1852.0244838042372,0,0.5199866102235875,5.569372968003183,6.08935957822677,0.09699999999999775,0.7774456922417361,5.445490082931728,6.222935775173464,0.14501184189915506,0.9207251210667264,0.1720000000000006,395.17424805122715,0,0.059757855677637715,3.641498898294518,0.0123826055903489,4.230730155542765,0.0077038519837581,True,ChemPec*,*|MIR|NIR|Pe*,4380.25,124.8897013368196
