RA,DEC,mag_amplitude_1,logT,logT_std,logL,logL_std
7.521702,-73.913918,0.0998511912509609,3.795880017344075,0.0,4.025841350014135,0.0071011738480652
7.948884,-73.599243,0.1470380595428473,3.653212513775343,0.0,4.001768894856278,0.0075911150349897
7.981742,-73.585571,0.1584313273740782,3.628388930050312,0.0,4.272357820726796,0.0076395317655246
8.560188,-73.619049,0.1723218864862428,3.6361618023498425,0.0115743956181886,4.073097211295605,0.0082512306215964
8.637665,-73.873337,0.0576799999999995,3.914898233675937,0.0079033950936335,4.196752171930485,0.0106584949308657
8.763608,-73.549622,0.145011841899155,3.641647595333828,0.0123712220651167,4.230788705890428,0.0076570068455463
8.763859,-74.203384,0.1742730837577504,3.628312283084456,0.0013973984056172,4.458614745760136,0.0068913876256703
8.989162,-73.734062,0.1409850535619874,3.628388930050312,0.0,4.12271125267108,0.0074822682985043
9.380191,-74.411057,0.1777124103355625,3.6492374723496073,0.0090159586320162,4.004552478496865,0.0074815457658607
9.508638,-73.630348,0.1069800035497134,3.73661558642524,0.0077956092587158,4.147348194127244,0.0091297158416744
9.563685,-73.017746,0.177444446966037,3.628388930050312,0.0,4.16392486896455,0.0072609354340257
9.57867,-73.525597,0.6011455446547096,3.698904855277432,0.0011877571985936,4.008898479505486,0.0074700060975839
10.190774,-72.673569,0.1621378479151918,3.6283378335761185,0.001141475921594,4.248884488838897,0.0084038939230574
10.512744,-73.888428,0.1692500000000016,3.628363382564678,0.0008075021392035,4.0917611204967494,0.0078439112120025
10.598432,-73.412109,0.17432406060618,3.628388930050312,0.0,4.146616944530597,0.0067479088256738
10.721161,-73.596092,0.0752800000000011,3.7910411775319246,0.0078612602793785,4.178149078220458,0.00592918488969
10.95191,-73.613548,1.3424004536779055,3.6989700043360183,0.0,4.075365059508398,0.0085235454884965
11.004765,-72.995163,0.1710488390757856,3.6502832330521233,0.0079218790907924,4.24323020456092,0.0063200214346309
11.399051,-73.293671,0.2529407500734262,3.635709882973056,0.0114419885824812,4.138862633163208,0.0072885923901479
11.510007,-73.350014,0.1258691410777999,3.67281339204241,0.0142623803775439,4.205694811610103,0.0069736079121586
11.554412,-72.935364,0.0722528721348556,3.941821886920197,0.0282389255698825,4.250217505604975,0.0252526752786403
11.642234,-72.821014,0.0769284878914824,3.924821815154176,0.0131258770019676,4.0712703561893075,0.0133414857929013
11.666625,-73.208763,0.0890514938983297,3.885403629531268,0.0211294705422081,4.013588009007498,0.0097223714940626
11.692539,-73.666313,0.1656818958329342,3.63281146723474,0.0095868846189888,4.02493982125083,0.0102408270418377
11.721182,-72.714394,1.1424800000000008,3.711996927912762,0.0103262029191654,4.622192923092751,0.0162387578250189
11.753848,-73.370476,0.0769959903887684,3.784028563810088,0.0161667038706582,4.228327252760011,0.0066846174055331
11.760545,-72.919182,0.0702534846345397,3.801214994483724,0.0117078737628866,4.237731599014418,0.0061621328298196
11.782004,-73.745392,0.1130223325227692,3.6356847625472226,0.0113756389117026,4.326984711175398,0.0084088300690578
11.78622,-73.236649,0.1041852260927473,3.638314505630271,0.0129877639284218,4.529843691905408,0.0094535961897724
12.00486,-73.387062,0.1320373660631855,3.6294860526689585,0.0052933876483205,4.107214256696556,0.0063491978420761
12.009524,-73.403946,0.1327552243158773,3.6199537588433968,0.0122194587478764,4.085357153703834,0.007368789662308
12.026228,-73.110535,0.0722944364609432,3.8793396355918626,0.0335893918599577,4.481682970161999,0.0082293358123231
12.036872,-73.505272,0.0778151946602765,3.912208767024255,0.0255700369272076,4.242679225601314,0.0124671679620597
12.115704,-73.446945,0.0823855688799746,3.922660594356085,0.0080329602905002,4.289574551566349,0.0116347510966954
12.132593,-72.986565,0.1562049771744167,3.629715332647132,0.0057683384967699,4.385254724007946,0.0068363616155693
12.138712,-73.209274,0.2388849168163673,3.6307328928171967,0.0073439255430663,4.062162004429858,0.007117047614731
12.146544,-72.369522,0.1578496922693268,3.628363382564678,0.0008075021392035,4.444404989833296,0.0075102305586246
12.158935,-73.246552,0.0920154140299587,3.918226983599154,0.0130330504086198,4.0525131217335995,0.0132220099603673
12.189284,-72.924294,0.2539983145430202,3.635307781693799,0.0112012132956231,4.2188956586961295,0.0082981814099064
12.257829,-72.901375,0.1510351111510406,3.635307781693799,0.0113135252950908,4.050956418765497,0.0063995457749922
12.299215,-72.692955,0.1927012007726887,3.628388930050312,0.0,4.448593664253063,0.0068502858468859
12.314714,-73.202988,0.0847680071823528,3.876391061819187,0.008434347729067,4.140535862114438,0.0062432383201263
12.385136,-72.487221,0.1794097737594029,3.655642577048695,0.0072297332820744,4.0212075781501095,0.0071483090547067
12.393755,-72.881355,0.1370000000000004,3.658821959135624,0.0118430957744568,4.096565133142568,0.0062837316222942
12.419711,-73.236916,0.6229614087660096,3.6718667887725633,0.020516018472954,4.07131632784917,0.0123048329831458
12.42137,-72.301399,0.2163863196347453,3.636738571385955,0.011783657742072,4.212012120787031,0.0072229162806657
12.449533,-73.411659,0.180996049784186,3.6390878710837375,0.0130046795288685,4.064254812119398,0.0072021730919237
12.482258,-73.047455,0.1570623816077692,3.6462076122066858,0.0134536570034064,4.367780205950171,0.0073994371758805
12.498361,-73.07341,0.0837698723788644,3.846754502341561,0.0233084344478317,4.019936326417832,0.0087034388092341
12.554437,-73.286179,0.0788618334320911,3.820382104183975,0.0162670675246431,4.081568337950995,0.0062785556641851
12.575341,-72.455956,0.1790289170772414,3.628388930050312,0.0,4.078840407549726,0.0074309224795915
12.588534,-73.102638,0.1592840207349368,3.6281589485594186,0.0059899980606038,4.331907062144271,0.0075454700473192
12.619976,-72.752563,0.9174937215466414,3.746128005464328,0.0149322036343143,4.743443769962351,0.0075691031795666
12.629437,-72.872421,0.052477741064667,3.7691556907143986,0.012336867382726,4.353181028413192,0.0070667942159563
12.638301,-72.962532,0.0680351608444027,3.865858741953046,0.0221272498277702,4.167989840921431,0.0080949780668775
12.669093,-72.834183,0.0963628056789147,3.926110829759206,0.0539470474156178,4.00799709672098,0.0174419858360252
12.694161,-72.241043,0.2244950202771285,3.628414476033196,0.0008074071445398,4.158951662573756,0.0071413587457441
12.708537,-73.394318,0.0818060209241657,3.88408700547861,0.0156679771719651,4.045639246478311,0.0114004545441407
12.758097,-73.268562,0.1933248878522295,3.629537014236947,0.0054034718306037,4.069018657457377,0.0065200143168583
12.779685,-72.998734,0.1800945413596668,3.6299953994486263,0.0061839930197321,4.109458614205286,0.0068331789049848
12.788992,-72.809959,0.0671479771766971,3.910464315995614,0.0190003423505808,4.265406307005295,0.0100513398039131
12.799663,-72.471596,0.0672119383861868,3.920371200106196,0.028904440752816,4.445647590776101,0.0144095631691332
12.806897,-72.550446,0.2011107849070548,3.637114312850117,0.0119025552107919,4.224545697426342,0.0071208709888897
12.826005,-72.723526,0.2019714865860322,3.6354586133051447,0.0114397783422991,4.266206890953615,0.0062826777817194
12.858666,-72.888458,0.4237408571956145,3.775555839231818,0.025515268014553,4.1915715471742025,0.0075657508125865
12.883954,-73.309235,0.1733711532321962,3.6428353423638993,0.0127057167686578,4.012118358396981,0.0069556086448567
12.90685,-72.433243,0.2290772448675007,3.628363382564678,0.0008075021392035,4.643578886016197,0.0073378750488212
12.911544,-72.972351,0.1263205129434101,3.629435085120267,0.0050534790173459,4.088770742359054,0.006243744876027
12.9154,-73.232407,0.1044542895928,3.634955637417199,0.0111946991460928,4.011383306388718,0.0070738269175899
12.941341,-72.59816,0.0885218976422894,3.856441883358432,0.0258383695455226,4.030393445764981,0.0096971773450278
