target_idx,target_ra,target_dec,target_overall_mean,target_overall_median,target_overall_mean_mag,target_overall_median_mag,target_offset_flag,target_chi_squared_68,target_chi2_threshold_68,target_chi_flag_68,target_chi_squared_95,target_chi2_threshold_95,target_chi_flag_95,target_chi_squared_997,target_chi2_threshold_997,target_chi_flag_997,target_amplitude_5,target_lower_percentile_5,target_upper_percentile_5,target_mag_amplitude_5,target_amplitude_1,target_lower_percentile_1,target_upper_percentile_1,target_mag_amplitude_1,target_largest_amp,target_best_period,target_alarm_level_flag,target_std_amplitude,target_logt,target_logl,target_cephied_like,target_ir_variable_like,target_other_variable_like,multiple_match_flag,smash_ra,smash_dec,smash_glon,smash_glat,smash_elon,smash_elat,smash_raerr,smash_decerr,smash_rascatter,smash_decscatter,smash_umag,smash_uerr,smash_uscatter,smash_gmag,smash_gerr,smash_gscatter,smash_rmag,smash_rerr,smash_rscatter,smash_imag,smash_ierr,smash_iscatter,smash_zmag,smash_zerr,smash_zscatter,smash_chi,smash_sharp,smash_prob,smash_ebv,smash_htm9,smash_ring256,smash_nest4096,smash_random_id,smash_ndet,smash_depthflag,smash_ndetu,smash_ndetg,smash_ndetr,smash_ndeti,smash_ndetz,smash_flag,smash_id,distance_arcsec
0,7.521702,-73.913918,10.311394408047692,10.31918243024229,13.8669936669659,13.865935413489524,0.0,163834.4699897408,2785.1662132524916,0.0,163834.4699897408,2874.134190638807,0.0,163834.4699897408,2959.1867350271564,0.0,0.6925586258088234,9.956297817189654,10.648856442998476,0.0729999999999986,1.0833832962351515,9.744959152656552,10.828342448891703,0.1147408643569765,1.4347401721891728,2.2546201058554836,0.0,0.2156334171116621,3.7731406018682785,4.026600492146291,,,,0,7.521817569740818,-73.91388363389902,304.95595509845856,-43.130360614035034,308.2122593680835,-63.635492831098375,0.027274999767541885,0.027274999767541885,0.017642000690102577,0.013082999736070633,15.042215,0.007098999805748463,0.019724000245332718,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.0694999694824219,-0.0885000005364418,99.98999786376953,0.05300400033593178,2174716.0,770775.0,136451385.0,95.27694702148438,2.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,48141.991752,0.16910242357477925
1,7.746443,-73.741425,8.216994256978742,8.213630010930606,14.113502688406244,14.113766969556716,0.0,23362.341221141975,2340.2568840359204,0.0,23362.341221141975,2421.902882832582,0.0,23362.341221141975,2500.096772515748,0.0,0.5485679143617626,7.945354365715656,8.493922280077419,0.0726314488682948,0.8780818514099265,7.766030793158827,8.644112644568754,0.1169100000000007,1.1372183000270937,28.584579294336375,1.0,0.1405857089849504,3.7708465510721783,4.010041520214789,,,,0,7.746501877050463,-73.74141393508198,304.89693487213816,-43.30872029530176,308.6216980487564,-63.61152570736517,0.01394800003618002,0.01394800003618002,0.013674999587237835,0.017458999529480934,15.284739,0.0032309999223798513,0.021550999954342842,14.05325,0.012253999710083008,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.8601250052452087,-0.03099999949336052,0.0,0.049543000757694244,2174660.0,770419.0,136451908.0,3.174388885498047,8.0,3.0,7.0,1.0,0.0,0.0,0.0,2.0,48141.849197,0.07147189985865997
2,7.925977,-73.53167,3.7446376458663417,3.743518467438104,14.96737599190094,14.967000000000002,0.0,17530.6115245252,2327.1672721856025,0.0,17530.6115245252,2408.5877442112724,0.0,17530.6115245252,2486.570382788624,0.0,0.4926710956426587,3.495,3.987671095642659,0.1437146803800946,0.7762365740466901,3.3694617630510946,4.145698337097785,0.2250049901942876,0.991786410269015,201.54708472066625,0.0,0.0715782769731489,3.6347791705249826,4.044608418030504,,,,1,7.925978598757365,-73.5316777468076,304.8587016613096,-43.522670256551,309.09206478647076,-63.55898486090219,0.008767000399529934,0.008767000399529934,0.006020000204443932,0.026858000084757805,17.539347,0.005119999870657921,0.07034000009298325,15.005079,0.0013879999751225114,0.0755160003900528,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.3139170408248901,-0.024082999676465988,0.12999999523162842,0.04650000110268593,2174640.0,770419.0,136452092.0,30.867401123046875,12.0,3.0,6.0,6.0,0.0,0.0,0.0,2.0,48141.228030,0.027936194870222687
3,7.948884,-73.599243,4.383920773464371,4.384264469602897,14.795906043473543,14.79550618993722,0.0,12931.49206727408,2344.2844061177343,0.0,12931.49206727408,2425.9996699502126,0.0,12931.49206727408,2504.258440308519,0.0,0.4366186546707267,4.169138799504128,4.605757454174855,0.1083458164710329,0.7014468972835672,4.029309673018828,4.730756570302395,0.1742398942969014,0.9253151336692014,481.2353185510351,0.0,0.0793747366973713,3.6290985955803414,4.026778011235634,,,,0,7.948915729072618,-73.59924514155145,304.84000427365885,-43.45616119072006,308.9644125035546,-63.59614443074141,0.00687299994751811,0.00687299994751811,0.05647499859333038,0.040081001818180084,17.916418,0.0045449999161064625,0.016637999564409256,15.231487,0.0012799999676644802,0.03429599851369858,14.085505,0.0033360000234097242,0.05149399861693382,13.527773,0.014121999964118004,0.12641899287700653,13.361371,0.05142100155353546,99.98999786376953,1.9346790313720703,0.009499999694526196,0.012000000104308128,0.04248100146651268,2174632.0,770419.0,136452052.0,6.655640125274658,28.0,3.0,11.0,9.0,5.0,2.0,1.0,2.0,48141.222903,0.033160465945570955
4,7.980047,-73.578545,3.0508875279881247,3.0477859457908716,15.189939100570182,15.19003810503309,0.0,11658.083926269228,2346.298158231631,0.0,11658.083926269228,2428.048032118826,0.0,11658.083926269228,2506.339221784087,0.0,0.4158991767283577,2.8544263214167884,3.270325498145146,0.1479999999999979,0.6797448713460805,2.723035103187025,3.4027799745331055,0.242213892817972,0.8549007125096395,282.08961684975844,0.0,0.0724700829995179,3.60928920229464,4.036388455838606,,,,1,7.980067764237531,-73.578549537461,304.83092777531283,-43.4776641254331,309.0148200238619,-63.5943382751155,0.007309999782592058,0.007309999782592058,0.046539001166820526,0.046727001667022705,18.295853,0.005078000016510487,0.04266300052404404,15.276505,0.00133200001437217,0.1953119933605194,99.99,9.989999771118164,99.98999786376953,13.423426,0.014774000272154808,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.9988149404525757,-0.023963000625371933,0.03437500074505806,0.043731000274419785,2174632.0,770419.0,136452055.0,15.202975273132324,27.0,3.0,11.0,15.0,0.0,1.0,0.0,2.0,48141.223617,0.026709523279389514
5,7.981742,-73.585571,5.584488201593248,5.582236283281537,14.533180284627967,14.533177980119516,0.0,26322.038067433234,2365.42850808631,0.0,26322.038067433234,2447.506434606942,0.0,26322.038067433234,2526.1049121771484,0.0,0.5997963240925417,5.293775352887784,5.893571676980326,0.1167521958198865,0.896179296143524,5.157074825263488,6.053254121407012,0.1741702355491501,1.3431044229249691,963.750879628878,0.0,0.0405424764578139,3.617613145232212,4.323310793338593,,,,1,7.981784905225117,-73.58558135895737,304.82925197782293,-43.47072127550966,309.001319064382,-63.59803102050057,0.007934000343084335,0.007934000343084335,0.04712300002574921,0.04030200093984604,17.359644,0.004379000049084425,0.02813900075852871,14.548666,0.0012400000123307109,0.1244489997625351,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,2.6134231090545654,0.06207700073719025,0.1080000028014183,0.043108999729156494,2174632.0,770419.0,136452055.0,11.947277069091797,26.0,3.0,11.0,15.0,0.0,0.0,0.0,2.0,48141.217504,0.05740914085895014
6,8.228736,-73.821953,6.753290417232638,6.238660360953485,14.360736477016594,14.41250378031075,0.0,1019282.3886334592,2392.612832516904,0.0,1019282.3886334592,2475.154650314557,0.0,1019282.3886334592,2554.1876573386194,0.0,5.55801908167924,4.744610073307244,10.302629154986484,0.8415436981842905,6.247079169856184,4.518619001846741,10.765698171702924,0.9422570671349018,8.65548152802409,15.836137953837914,0.0,0.7332878673013207,3.79498098679828,4.03439240577564,,,,0,8.22883175639301,-73.82196793923505,304.7014186340926,-43.242587872099165,308.59949678074685,-63.768177244638245,0.008972999639809132,0.008972999639809132,0.009309000335633755,0.017031999304890633,15.978545,0.004474000073969364,0.01565600000321865,14.538131,0.0013099999632686377,0.02863599918782711,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.000385046005249,-0.02500000037252903,0.9399999976158142,0.04364899918437004,2174663.0,770420.0,136462345.0,74.81592559814453,13.0,3.0,7.0,6.0,0.0,0.0,0.0,2.0,48050.165906,0.11007995364834004
7,8.560188,-73.619049,4.146184968099275,4.149907198187983,14.85660296835384,14.85523121149444,0.0,30290.33415234964,2014.9497632007576,0.0,30290.33415234964,2090.7894487834265,0.0,30290.33415234964,2163.5446645749457,0.0,0.4894920130369211,3.900068448746743,4.389560461783664,0.1280349823091935,0.7349419715396519,3.759074885477824,4.494016857017476,0.1940851978059967,0.9775739663853796,6.9017019001918465,1.0,0.159719025052903,3.617888734270881,4.098910276301404,,,,0,8.560171887175976,-73.61910917314471,304.6008505070605,-43.453372158359585,309.1036984446865,-63.7584162084063,0.011646999977529049,0.011646999977529049,0.030956000089645386,0.023746000602841377,17.732721,0.0070940000005066395,0.04039299860596657,14.917491,0.0026579999830573797,0.06192199885845184,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,3.883867025375366,0.10833299905061722,0.12999999523162842,0.0393109992146492,2174635.0,770420.0,136462519.0,72.4448471069336,15.0,3.0,6.0,9.0,0.0,0.0,0.0,2.0,48050.352081,0.21724014485639498
8,8.637665,-73.873337,25.140864274570983,25.133,12.899205928237128,12.899,0.0,20130.82184963621,656.202321606502,0.0,20130.82184963621,699.9629762509568,0.0,20130.82184963621,742.6776242919044,0.0,1.0109999999999992,24.631,25.642,0.0429999999999992,1.463199999999997,24.3882,25.8514,0.0631999999999983,2.401,345.6511763094278,1.0,0.3551042962630699,3.87934638199243,4.206011752897837,,,,0,8.637638961822047,-73.87335847163156,304.5393983385617,-43.20214620902938,308.61200831294923,-63.89285393952669,0.03380100056529045,0.03380100056529045,0.021650999784469604,0.020217999815940857,13.864445,0.004354000091552734,0.021188000217080116,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.5043330192565918,-0.15800000727176666,99.98999786376953,0.04667000100016594,2174662.0,770776.0,136374933.0,62.16790771484375,3.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,48142.441802,0.08156511969431048
9,8.763608,-73.549622,5.831962012614965,5.829741861543312,14.4859572828414,14.485889639790289,0.0,18967.635579420552,1729.768508665598,0.0,18967.635579420552,1800.1187228901035,0.0,18967.635579420552,1867.7322763220384,0.0,0.5364456520530281,5.567829887413301,6.104275539466329,0.0999620989749523,0.839945478677107,5.441048686517407,6.280994165194514,0.1559742693987189,1.0647151730397164,388.6442267030881,0.0,0.0713291651988147,3.626271506057682,4.272655917772488,,,,0,8.763576496904808,-73.54968611824044,304.5305298190966,-43.52767617555116,309.30281448861257,-63.77785862509054,0.009331000037491322,0.009331000037491322,0.016946999356150627,0.024970000609755516,17.29007,0.005363000091165304,0.03288400173187256,14.659092,0.0033950000070035458,0.14764200150966644,13.35204,0.011284999549388885,0.06553199887275696,12.768922,0.008019999600946903,0.06027799844741821,99.99,9.989999771118164,99.98999786376953,5.121459007263184,0.18016700446605682,0.40117600560188293,0.046831000596284866,2174634.0,770420.0,136462575.0,92.42704772949219,24.0,3.0,10.0,10.0,2.0,2.0,0.0,10.0,48050.106678,0.23304922601930972
