RA,Catalog #,Name,DEC,V_mag,Simbad Spec Class,KFN Spec,Log(Teff),Log(L/Lsun),YSG?,Variability Class,Simbad Types,Date_Mike,Halpha,
05:30:07.116,43,J05300709-6715431,-67:15:43.17,11.36,B7Ia+,,3.924,4.977,,V,**iCs*bIR,"jan17,",abs,
05:34:09.954,44,J05340996-6859127,-68:59:12.71,11.37,A2Ia,,3.996,5.076,,N,*sg*IR,"apr17,",abs+emi,
05:28:17.770,45,J05281778-6904185,-69:04:18.57,11.37,F0I,early F,3.821,4.916,yes,eV,*IR,"jan17,",abs+emi,
05:35:30.306,46,J05353030-6815035,-68:15:03.57,11.41,~,early G,3.611,5.376,yes,N,**IR,"nov17,",abs,
05:10:27.400,47,J05102739-6909117,-69:09:11.69,11.42,A0Ia,,3.848,4.898,,V,*sg*IR,"jan17,",PCyg,
05:40:25.369,48,J05402535-6914362,-69:14:36.27,11.42,A5Ia,mid A,3.808,4.899,,V,*sg*IR,"jan17,",PCyg,
05:28:21.987,49,J05282196-6859482,-68:59:48.20,11.45,F5Ia,mid F,3.803,4.889,yes,N,*Em*s*yIR,"jan17,",abs,
04:59:43.526,50,J04594353-6831228,-68:31:22.68,11.46,K0,early K,3.735,4.955,,N,*IR,"jan17,",abs,
05:14:04.436,51,J05140442-6715506,-67:15:50.54,11.49,A9Ia,,3.834,4.867,,N,*sg*IR,"jan17,",abs,
04:55:10.089,52,J04551006-6650426,-66:50:42.55,11.55,A5Iab,,3.874,4.857,,N,*sg*IR,"jan17,",abs,
04:56:49.411,53,J04564941-6948314,-69:48:31.49,11.55,M:,K:,3.625,5.253,,V,**IR,"nov17,",abs,
04:56:39.907,54,J04563991-6644367,-66:44:36.67,11.59,A0Ia,,3.996,4.988,,N,*sg*IR,"apr17,",abs,
05:36:21.487,55,J05362147-6906478,-69:06:48.02,11.63,OB,,3.996,4.972,,V,*Em*IR,"jan17,",emi,
05:40:34.285,56,J05403429-6933245,-69:33:24.63,11.67,B7I,,3.874,4.809,,V,*s*yIR,"nov17,",abs,
05:36:43.077,57,J05364307-6908536,-69:08:53.73,11.69,A3Ia,early A,3.802,4.793,,V,*sg*IR,"jan17,",abs,
05:36:25.192,58,J05362519-6941315,-69:41:31.56,11.71,K2III,early K,3.693,4.945,,eV,**V*IR,"nov17,",abs+emi,
05:03:13.620,59,J05031360-6833353,-68:33:35.36,11.76,A0Ia,,4.012,4.949,,V,*sg*s*yIR,"apr17,",abs,
04:56:39.977,60,J04564000-6941562,-69:41:56.22,11.8,K5,mid K,3.746,4.801,,N,*IR,"nov17,",abs,
05:41:30.097,61,J05413010-6919312,-69:19:31.30,11.81,F5I:,mid F,3.827,4.739,yes,N,*IR,"jan17,",abs,
